ticket_id,customer_id,product_id,opened_at,closed_at,priority,category,status,subject,conversation_summary,sentiment
TKT000029,C011,PRD003,2025-10-19 10:04:00,2025-10-21 02:27:39,P4,missing_item,resolved,Refund status question,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000030,C196,PRD015,2026-08-05 15:00:00,,P4,return_refund,escalated,Refund status question,The reported safety or allergen concern was escalated for immediate product-compliance review.,neutral
TKT000031,C054,PRD008,2025-06-30 02:33:00,,P2,missing_item,open,Refund status question,The case remains open while store and fulfillment records are compared.,urgent
TKT000032,C080,PRD009,2026-12-11 02:38:00,2026-12-18 05:23:20,P4,missing_item,resolved,Ingredient or product information request,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000033,C183,PRD005,2026-03-26 01:59:00,2026-03-29 02:22:07,P4,product_information,resolved,Refund status question,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000034,C147,PRD003,2025-05-18 22:01:00,2025-05-27 18:05:26,P4,delivery,resolved,Wrong item received,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000035,C005,PRD018,2026-04-19 22:36:00,2026-04-23 11:14:10,P3,billing,resolved,Wrong item received,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000036,C128,PRD017,2026-01-02 11:08:00,2026-01-07 15:17:49,P3,billing,resolved,Item quality below expectation,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,positive
TKT000037,C223,PRD008,2025-07-13 03:33:00,2025-07-17 15:32:29,P4,billing,resolved,Missing item or component,Support confirmed product-use guidance resolved the concern and the customer closed the case.,urgent
TKT000038,C106,PRD020,2026-05-13 00:04:00,2026-05-20 15:10:48,P1,product_quality,resolved,Missing item or component,Support confirmed product-use guidance resolved the concern and the customer closed the case.,positive
TKT000039,C013,PRD014,2026-01-10 08:20:00,,P3,billing,open,Wrong item received,Support documented the issue and is checking replacement inventory in the customer region.,urgent
TKT000040,C044,PRD004,2024-05-09 13:29:00,2024-05-18 04:01:09,P4,product_information,resolved,Refund status question,Support confirmed product-use guidance resolved the concern and the customer closed the case.,frustrated
TKT000041,C153,PRD019,2025-08-04 22:39:00,2025-08-13 09:30:06,P3,return_refund,resolved,Item quality below expectation,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000042,C037,PRD008,2024-01-22 21:17:00,2024-01-29 07:36:05,P2,missing_item,resolved,Ingredient or product information request,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000043,C226,PRD019,2026-06-06 21:52:00,,P4,missing_item,escalated,Refund status question,Repeated complaints for the same lot prompted escalation to merchandising and supplier quality.,neutral
TKT000044,C149,PRD004,2025-01-10 20:38:00,2025-01-11 10:05:29,P4,product_quality,resolved,Refund status question,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,positive
TKT000045,C081,PRD017,2025-03-08 19:27:00,2025-03-14 05:22:20,P3,billing,resolved,Refund status question,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000046,C143,PRD020,2026-05-09 18:03:00,,P3,billing,open,Refund status question,Support documented the issue and is checking replacement inventory in the customer region.,neutral
TKT000047,C022,PRD003,2025-12-02 01:45:00,2025-12-03 18:33:13,P4,return_refund,resolved,Refund status question,Customer provided package photos; a replacement or refund was completed and accepted.,positive
TKT000048,C006,PRD006,2025-07-04 07:38:00,2025-07-08 01:45:12,P4,return_refund,resolved,Missing item or component,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000049,C059,PRD009,2026-05-08 01:10:00,2026-05-09 15:54:19,P4,billing,resolved,Package arrived damaged,Customer provided package photos; a replacement or refund was completed and accepted.,positive
TKT000050,C022,PRD006,2026-08-03 08:33:00,2026-08-13 07:39:49,P4,missing_item,resolved,Ingredient or product information request,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000051,C035,PRD017,2026-06-22 11:37:00,,P3,product_quality,open,Package arrived damaged,The case remains open while store and fulfillment records are compared.,positive
TKT000052,C004,PRD001,2024-10-26 14:53:00,,P3,billing,waiting_customer,Ingredient or product information request,The return is pending while the customer confirms pickup availability and item condition.,neutral
TKT000053,C164,PRD010,2025-08-16 06:22:00,2025-08-23 07:15:26,P3,missing_item,resolved,Ingredient or product information request,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,urgent
TKT000054,C194,PRD002,2026-01-06 15:28:00,2026-01-13 03:29:32,P4,return_refund,resolved,Refund status question,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,positive
TKT000055,C006,PRD015,2025-01-22 06:39:00,,P2,billing,escalated,Ingredient or product information request,The reported safety or allergen concern was escalated for immediate product-compliance review.,neutral
TKT000056,C153,PRD011,2024-04-18 02:19:00,,P3,missing_item,waiting_customer,Refund status question,Support requested package photos and the lot code before continuing the quality review.,positive
TKT000057,C075,PRD018,2024-10-29 07:03:00,,P4,product_quality,open,Item quality below expectation,The case remains open while store and fulfillment records are compared.,positive
TKT000058,C167,PRD011,2025-05-25 03:31:00,2025-05-30 23:28:54,P2,missing_item,resolved,Ingredient or product information request,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000059,C145,PRD005,2026-03-16 00:23:00,,P3,billing,waiting_customer,Wrong item received,Support requested package photos and the lot code before continuing the quality review.,neutral
TKT000060,C035,PRD012,2026-03-30 01:34:00,,P1,return_refund,open,Refund status question,Support documented the issue and is checking replacement inventory in the customer region.,neutral
TKT000061,C192,PRD020,2024-03-25 07:07:00,2024-03-26 18:46:14,P3,missing_item,resolved,Item quality below expectation,Support confirmed product-use guidance resolved the concern and the customer closed the case.,positive
TKT000062,C026,PRD015,2025-10-22 22:20:00,2025-10-30 02:33:25,P4,missing_item,resolved,Item quality below expectation,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,positive
TKT000063,C047,PRD013,2025-03-08 03:13:00,,P2,delivery,escalated,Package arrived damaged,Repeated complaints for the same lot prompted escalation to merchandising and supplier quality.,frustrated
TKT000064,C053,PRD016,2026-08-01 16:44:00,,P3,return_refund,open,Package arrived damaged,The case remains open while store and fulfillment records are compared.,urgent
TKT000065,C073,PRD013,2026-07-03 17:45:00,,P3,delivery,escalated,Refund status question,Repeated complaints for the same lot prompted escalation to merchandising and supplier quality.,neutral
TKT000066,C227,PRD009,2026-06-04 20:25:00,2026-06-05 01:33:50,P4,delivery,resolved,Missing item or component,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000067,C138,PRD008,2025-02-10 00:35:00,,P1,product_information,escalated,Wrong item received,Repeated complaints for the same lot prompted escalation to merchandising and supplier quality.,neutral
TKT000068,C179,PRD006,2025-04-13 10:41:00,2025-04-15 15:52:44,P2,missing_item,resolved,Item quality below expectation,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000069,C185,PRD013,2025-10-26 02:43:00,2025-11-03 08:35:56,P3,missing_item,resolved,Package arrived damaged,Customer provided package photos; a replacement or refund was completed and accepted.,frustrated
TKT000070,C191,PRD005,2025-05-26 17:44:00,2025-05-30 18:41:14,P4,product_quality,resolved,Item quality below expectation,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000071,C014,PRD018,2026-03-30 10:20:00,,P3,product_quality,escalated,Package arrived damaged,The reported safety or allergen concern was escalated for immediate product-compliance review.,neutral
TKT000072,C212,PRD009,2025-12-15 05:24:00,2025-12-22 00:04:34,P3,billing,resolved,Item quality below expectation,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000073,C215,PRD012,2026-06-03 21:12:00,2026-06-06 02:26:08,P1,product_information,resolved,Refund status question,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,positive
TKT000074,C066,PRD013,2024-09-13 09:18:00,2024-09-21 08:43:55,P2,missing_item,resolved,Missing item or component,Customer provided package photos; a replacement or refund was completed and accepted.,positive
TKT000075,C167,PRD005,2025-07-24 15:25:00,,P4,delivery,open,Missing item or component,Support documented the issue and is checking replacement inventory in the customer region.,neutral
TKT000076,C178,PRD008,2024-04-28 10:06:00,2024-05-03 06:30:29,P1,product_quality,resolved,Package arrived damaged,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000077,C131,PRD010,2025-07-27 04:31:00,2025-08-04 22:27:05,P2,product_information,resolved,Refund status question,Customer provided package photos; a replacement or refund was completed and accepted.,frustrated
TKT000078,C083,PRD014,2025-09-26 00:43:00,2025-09-28 01:27:33,P4,product_information,resolved,Refund status question,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,frustrated
TKT000079,C203,PRD004,2024-03-15 08:46:00,,P2,missing_item,escalated,Package arrived damaged,Repeated complaints for the same lot prompted escalation to merchandising and supplier quality.,urgent
TKT000080,C143,PRD006,2024-07-13 17:32:00,2024-07-19 18:15:49,P1,billing,resolved,Missing item or component,Customer provided package photos; a replacement or refund was completed and accepted.,positive
TKT000081,C108,PRD018,2025-12-27 09:24:00,2025-12-29 09:04:55,P1,product_information,resolved,Wrong item received,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000082,C156,PRD006,2025-06-02 18:58:00,2025-06-09 12:21:06,P1,return_refund,resolved,Refund status question,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000083,C226,PRD014,2025-08-03 21:35:00,2025-08-10 09:09:30,P4,return_refund,resolved,Package arrived damaged,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000084,C153,PRD008,2024-01-02 08:48:00,2024-01-03 06:24:50,P2,return_refund,resolved,Package arrived damaged,Customer provided package photos; a replacement or refund was completed and accepted.,urgent
TKT000085,C226,PRD001,2024-01-30 20:37:00,2024-02-05 07:47:36,P4,product_information,resolved,Package arrived damaged,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000086,C175,PRD017,2025-09-10 16:18:00,2025-09-11 17:42:20,P2,missing_item,resolved,Wrong item received,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,frustrated
TKT000087,C158,PRD009,2025-10-18 19:43:00,2025-10-28 15:58:19,P3,return_refund,resolved,Wrong item received,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000088,C068,PRD002,2024-04-02 14:09:00,2024-04-03 14:50:45,P3,missing_item,resolved,Refund status question,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000089,C165,PRD014,2025-10-31 04:33:00,,P4,missing_item,waiting_customer,Refund status question,Support requested package photos and the lot code before continuing the quality review.,positive
TKT000090,C235,PRD020,2025-07-30 14:24:00,2025-08-04 05:32:19,P3,product_quality,resolved,Item quality below expectation,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000091,C162,PRD011,2026-08-21 05:12:00,,P4,delivery,open,Package arrived damaged,The case remains open while store and fulfillment records are compared.,neutral
TKT000092,C043,PRD006,2025-09-14 18:04:00,2025-09-21 00:13:45,P3,delivery,resolved,Package arrived damaged,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000093,C115,PRD001,2024-11-25 04:26:00,2024-11-28 00:08:45,P4,delivery,resolved,Refund status question,Support confirmed product-use guidance resolved the concern and the customer closed the case.,frustrated
TKT000094,C033,PRD009,2024-01-09 16:37:00,2024-01-16 08:43:18,P2,billing,resolved,Missing item or component,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000095,C024,PRD015,2024-08-21 05:48:00,,P2,return_refund,escalated,Wrong item received,The reported safety or allergen concern was escalated for immediate product-compliance review.,neutral
TKT000096,C109,PRD011,2025-07-18 20:33:00,2025-07-23 15:53:48,P4,product_information,resolved,Wrong item received,Support confirmed product-use guidance resolved the concern and the customer closed the case.,frustrated
TKT000097,C049,PRD005,2024-12-26 15:12:00,2025-01-02 15:53:16,P2,delivery,resolved,Missing item or component,Customer provided package photos; a replacement or refund was completed and accepted.,positive
TKT000098,C221,PRD003,2024-03-08 21:31:00,2024-03-14 08:13:32,P3,product_information,resolved,Wrong item received,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000099,C107,PRD020,2025-02-26 09:25:00,,P1,billing,escalated,Ingredient or product information request,Repeated complaints for the same lot prompted escalation to merchandising and supplier quality.,frustrated
TKT000100,C079,PRD007,2026-02-09 06:53:00,,P3,missing_item,waiting_customer,Package arrived damaged,The return is pending while the customer confirms pickup availability and item condition.,frustrated
TKT000101,C208,PRD002,2026-10-20 06:10:00,2026-10-22 02:16:46,P2,product_quality,resolved,Item quality below expectation,Support confirmed product-use guidance resolved the concern and the customer closed the case.,positive
TKT000102,C045,PRD013,2025-12-28 03:32:00,,P4,return_refund,waiting_customer,Wrong item received,The return is pending while the customer confirms pickup availability and item condition.,frustrated
TKT000103,C022,PRD008,2026-01-18 06:20:00,2026-01-19 22:44:49,P1,product_quality,resolved,Package arrived damaged,Customer provided package photos; a replacement or refund was completed and accepted.,positive
TKT000104,C118,PRD019,2026-09-12 15:15:00,2026-09-15 02:57:36,P3,billing,resolved,Missing item or component,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,urgent
TKT000105,C079,PRD016,2025-06-30 18:19:00,,P4,product_quality,open,Item quality below expectation,Support documented the issue and is checking replacement inventory in the customer region.,neutral
TKT000106,C010,PRD015,2026-04-01 23:12:00,2026-04-04 05:17:53,P2,product_quality,resolved,Missing item or component,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000107,C073,PRD002,2025-12-14 18:31:00,2025-12-17 11:18:41,P3,delivery,resolved,Item quality below expectation,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000108,C071,PRD003,2024-07-28 02:01:00,2024-08-06 06:20:05,P2,return_refund,resolved,Package arrived damaged,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000109,C141,PRD016,2026-09-17 07:36:00,2026-09-24 06:59:39,P4,return_refund,resolved,Refund status question,Support confirmed product-use guidance resolved the concern and the customer closed the case.,frustrated
TKT000110,C139,PRD003,2024-06-02 19:32:00,,P4,product_quality,waiting_customer,Wrong item received,The return is pending while the customer confirms pickup availability and item condition.,frustrated
TKT000111,C175,PRD013,2024-11-24 19:01:00,,P1,billing,open,Item quality below expectation,Support documented the issue and is checking replacement inventory in the customer region.,neutral
TKT000112,C127,PRD008,2026-07-31 03:02:00,2026-07-31 13:57:22,P2,billing,resolved,Item quality below expectation,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000113,C103,PRD004,2024-03-03 00:52:00,2024-03-05 13:38:09,P1,return_refund,resolved,Ingredient or product information request,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000114,C193,PRD011,2025-06-15 07:57:00,2025-06-23 04:13:44,P3,product_quality,resolved,Refund status question,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000115,C188,PRD019,2024-01-01 00:06:00,2024-01-01 04:59:46,P2,product_quality,resolved,Missing item or component,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000116,C178,PRD005,2026-01-17 18:48:00,2026-01-25 19:31:51,P4,product_quality,resolved,Missing item or component,Support confirmed product-use guidance resolved the concern and the customer closed the case.,positive
TKT000117,C134,PRD002,2025-09-12 03:32:00,2025-09-18 14:28:30,P3,product_quality,resolved,Wrong item received,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000118,C099,PRD008,2025-11-08 02:42:00,2025-11-09 14:07:53,P3,billing,resolved,Refund status question,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000119,C201,PRD006,2025-04-25 10:19:00,2025-05-04 00:28:14,P1,missing_item,resolved,Wrong item received,Support confirmed product-use guidance resolved the concern and the customer closed the case.,positive
TKT000120,C176,PRD018,2026-10-28 15:33:00,,P2,return_refund,waiting_customer,Item quality below expectation,Support requested package photos and the lot code before continuing the quality review.,positive
TKT000121,C072,PRD018,2025-08-09 03:05:00,2025-08-16 02:09:37,P3,delivery,resolved,Item quality below expectation,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000122,C078,PRD020,2026-08-19 06:13:00,2026-08-19 18:43:01,P4,product_information,resolved,Item quality below expectation,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000123,C092,PRD004,2025-02-25 18:48:00,2025-03-02 22:57:33,P1,missing_item,resolved,Missing item or component,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000124,C101,PRD005,2024-02-13 23:44:00,2024-02-18 19:04:23,P2,return_refund,resolved,Item quality below expectation,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,positive
TKT000125,C152,PRD010,2024-08-21 18:20:00,2024-08-30 18:44:20,P4,product_information,resolved,Package arrived damaged,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000126,C063,PRD017,2024-05-20 14:09:00,2024-05-27 03:38:47,P3,delivery,resolved,Missing item or component,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000127,C182,PRD006,2025-03-05 18:29:00,2025-03-08 08:56:14,P3,return_refund,resolved,Refund status question,Customer provided package photos; a replacement or refund was completed and accepted.,frustrated
TKT000128,C201,PRD011,2024-03-19 11:31:00,2024-03-25 16:00:29,P4,billing,resolved,Item quality below expectation,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,positive
TKT000129,C122,PRD008,2025-05-31 10:21:00,,P4,delivery,open,Wrong item received,The case remains open while store and fulfillment records are compared.,frustrated
TKT000130,C020,PRD016,2026-01-03 08:49:00,,P2,return_refund,open,Missing item or component,Support documented the issue and is checking replacement inventory in the customer region.,neutral
TKT000131,C106,PRD003,2024-02-21 16:17:00,2024-02-25 23:15:16,P3,return_refund,resolved,Package arrived damaged,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,positive
TKT000132,C057,PRD015,2026-06-15 04:49:00,2026-06-18 02:21:25,P2,billing,resolved,Wrong item received,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,frustrated
TKT000133,C122,PRD011,2026-10-19 04:37:00,,P4,delivery,waiting_customer,Wrong item received,Support requested package photos and the lot code before continuing the quality review.,positive
TKT000134,C116,PRD007,2024-11-26 22:43:00,2024-11-27 12:18:26,P3,product_information,resolved,Refund status question,Customer provided package photos; a replacement or refund was completed and accepted.,urgent
TKT000135,C041,PRD017,2024-10-21 00:04:00,2024-10-29 02:23:32,P4,return_refund,resolved,Package arrived damaged,Support confirmed product-use guidance resolved the concern and the customer closed the case.,urgent
TKT000136,C155,PRD004,2024-07-12 22:42:00,2024-07-18 00:18:02,P2,return_refund,resolved,Missing item or component,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000137,C039,PRD007,2025-03-27 00:48:00,2025-03-28 11:49:45,P4,missing_item,resolved,Wrong item received,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000138,C081,PRD009,2025-02-15 11:48:00,,P1,delivery,waiting_customer,Package arrived damaged,The return is pending while the customer confirms pickup availability and item condition.,neutral
TKT000139,C204,PRD016,2024-08-05 21:20:00,2024-08-10 06:36:37,P4,return_refund,resolved,Refund status question,Support confirmed product-use guidance resolved the concern and the customer closed the case.,urgent
TKT000140,C085,PRD019,2025-01-12 01:49:00,2025-01-14 06:06:01,P2,billing,resolved,Refund status question,Customer provided package photos; a replacement or refund was completed and accepted.,neutral
TKT000141,C035,PRD018,2026-09-16 14:33:00,2026-09-23 04:28:08,P3,missing_item,resolved,Ingredient or product information request,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000142,C087,PRD002,2025-06-30 18:06:00,2025-07-06 01:05:27,P3,delivery,resolved,Package arrived damaged,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000143,C179,PRD003,2026-07-07 10:39:00,,P2,return_refund,waiting_customer,Missing item or component,Support requested package photos and the lot code before continuing the quality review.,positive
TKT000144,C093,PRD010,2024-05-12 09:00:00,2024-05-17 22:32:57,P2,return_refund,resolved,Item quality below expectation,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,urgent
TKT000145,C042,PRD004,2024-06-30 10:01:00,,P3,missing_item,waiting_customer,Item quality below expectation,The return is pending while the customer confirms pickup availability and item condition.,neutral
TKT000146,C112,PRD012,2026-08-25 22:08:00,2026-09-04 16:15:36,P1,product_information,resolved,Item quality below expectation,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000147,C194,PRD017,2026-05-23 05:57:00,,P3,delivery,escalated,Wrong item received,Repeated complaints for the same lot prompted escalation to merchandising and supplier quality.,neutral
TKT000148,C179,PRD015,2024-02-13 15:54:00,,P4,product_information,waiting_customer,Wrong item received,The return is pending while the customer confirms pickup availability and item condition.,frustrated
TKT000149,C174,PRD009,2026-11-01 19:07:00,2026-11-05 11:32:25,P2,missing_item,resolved,Package arrived damaged,Support confirmed product-use guidance resolved the concern and the customer closed the case.,urgent
TKT000150,C204,PRD012,2024-07-15 14:09:00,,P4,billing,escalated,Package arrived damaged,Repeated complaints for the same lot prompted escalation to merchandising and supplier quality.,neutral
TKT000151,C055,PRD003,2025-11-03 03:56:00,2025-11-09 05:00:57,P2,product_quality,resolved,Missing item or component,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000152,C089,PRD019,2026-02-05 03:26:00,,P1,product_quality,escalated,Missing item or component,Repeated complaints for the same lot prompted escalation to merchandising and supplier quality.,neutral
TKT000153,C120,PRD019,2026-09-15 20:46:00,,P4,missing_item,escalated,Ingredient or product information request,The reported safety or allergen concern was escalated for immediate product-compliance review.,neutral
TKT000154,C202,PRD019,2024-10-10 13:29:00,2024-10-13 15:35:19,P3,return_refund,resolved,Missing item or component,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,urgent
TKT000155,C219,PRD001,2026-04-25 23:35:00,2026-04-26 12:28:36,P3,return_refund,resolved,Missing item or component,Customer provided package photos; a replacement or refund was completed and accepted.,frustrated
TKT000156,C095,PRD006,2025-03-01 05:58:00,2025-03-03 17:20:26,P4,billing,resolved,Missing item or component,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000157,C156,PRD007,2025-12-25 19:40:00,2025-12-28 15:15:45,P3,product_information,resolved,Missing item or component,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,frustrated
TKT000158,C094,PRD020,2025-10-24 03:30:00,2025-10-29 01:36:26,P2,return_refund,resolved,Ingredient or product information request,Support confirmed product-use guidance resolved the concern and the customer closed the case.,neutral
TKT000159,C188,PRD014,2026-05-02 03:46:00,2026-05-11 04:48:59,P2,product_quality,resolved,Missing item or component,The missing-item claim was verified against fulfillment records and the customer received the approved resolution.,neutral
TKT000160,C178,PRD014,2026-07-28 07:47:00,2026-07-29 12:22:09,P3,product_quality,resolved,Item quality below expectation,Customer provided package photos; a replacement or refund was completed and accepted.,positive
