po_line_id,purchase_order_id,line_number,product_id,ordered_qty,received_qty,unit_cost,quality_status,line_note
POL000029-1,PO000029,1,PRD005,75,60,1.63,accepted,Partial receipt allowed
POL000029-2,PO000029,2,PRD020,1200,1133,4.21,accepted,Routine replenishment
POL000031-1,PO000031,1,PRD010,300,300,0.57,accepted,Partial receipt allowed
POL000031-2,PO000031,2,PRD017,300,277,4.97,accepted,Expedite requested by planner
POL000031-3,PO000031,3,PRD009,150,150,1.33,accepted,Expedite requested by planner
POL000032-1,PO000032,1,PRD010,600,600,0.83,conditional,Routine replenishment
POL000032-2,PO000032,2,PRD007,1200,1200,0.99,accepted,Routine replenishment
POL000033-1,PO000033,1,PRD018,175,175,3.23,accepted,Expedite requested by planner
POL000034-1,PO000034,1,PRD016,700,700,4.41,accepted,Expedite requested by planner
POL000035-1,PO000035,1,PRD010,50,50,0.82,accepted,Inspection certificate required
POL000036-1,PO000036,1,PRD019,300,300,1.20,accepted,Routine replenishment
POL000036-2,PO000036,2,PRD020,150,150,4.28,accepted,Inspection certificate required
POL000036-3,PO000036,3,PRD012,50,48,1.18,accepted,Partial receipt allowed
POL000037-1,PO000037,1,PRD006,150,134,1.21,conditional,Expedite requested by planner
POL000037-2,PO000037,2,PRD012,200,169,0.94,accepted,Routine replenishment
POL000038-1,PO000038,1,PRD017,1200,1200,5.07,accepted,Inspection certificate required
POL000038-2,PO000038,2,PRD015,175,175,2.29,accepted,Expedite requested by planner
POL000039-1,PO000039,1,PRD002,300,300,1.98,accepted,Routine replenishment
POL000040-1,PO000040,1,PRD002,1000,949,1.84,accepted,Partial receipt allowed
POL000040-2,PO000040,2,PRD011,800,800,2.79,accepted,Routine replenishment
POL000041-1,PO000041,1,PRD016,800,800,3.97,accepted,Partial receipt allowed
POL000042-1,PO000042,1,PRD002,600,534,1.84,accepted,Inspection certificate required
POL000042-2,PO000042,2,PRD011,600,600,2.79,accepted,Inspection certificate required
POL000043-1,PO000043,1,PRD020,400,400,4.21,accepted,Routine replenishment
POL000043-2,PO000043,2,PRD005,75,65,1.63,rejected,Routine replenishment
POL000044-1,PO000044,1,PRD003,25,25,0.57,accepted,Inspection certificate required
POL000045-1,PO000045,1,PRD006,175,157,1.00,accepted,Expedite requested by planner
POL000046-1,PO000046,1,PRD003,250,250,0.54,accepted,Routine replenishment
POL000049-1,PO000049,1,PRD020,400,400,4.21,accepted,Routine replenishment
POL000049-2,PO000049,2,PRD005,100,100,1.63,accepted,Expedite requested by planner
POL000050-1,PO000050,1,PRD015,200,200,2.26,accepted,Partial receipt allowed
POL000051-1,PO000051,1,PRD006,125,125,1.00,accepted,Partial receipt allowed
POL000052-1,PO000052,1,PRD004,400,400,2.28,accepted,Partial receipt allowed
POL000053-1,PO000053,1,PRD010,75,75,0.96,accepted,Inspection certificate required
POL000054-1,PO000054,1,PRD012,600,600,1.17,accepted,Inspection certificate required
POL000056-1,PO000056,1,PRD008,1400,1400,1.85,accepted,Partial receipt allowed
POL000057-1,PO000057,1,PRD008,800,800,1.85,accepted,Inspection certificate required
POL000058-1,PO000058,1,PRD017,1600,1600,5.07,accepted,Routine replenishment
POL000058-2,PO000058,2,PRD015,175,175,2.29,accepted,Routine replenishment
POL000059-1,PO000059,1,PRD010,150,129,0.82,accepted,Routine replenishment
POL000061-1,PO000061,1,PRD010,150,123,0.82,accepted,Inspection certificate required
POL000062-1,PO000062,1,PRD004,200,200,2.28,accepted,Partial receipt allowed
POL000062-2,PO000062,2,PRD018,400,335,2.24,accepted,Partial receipt allowed
POL000062-3,PO000062,3,PRD001,400,367,2.13,rejected,Inspection certificate required
POL000063-1,PO000063,1,PRD006,100,100,1.00,accepted,Routine replenishment
POL000064-1,PO000064,1,PRD010,175,165,0.82,accepted,Partial receipt allowed
POL000065-1,PO000065,1,PRD020,400,400,3.03,accepted,Inspection certificate required
POL000066-1,PO000066,1,PRD007,1000,1000,0.99,accepted,Partial receipt allowed
POL000066-2,PO000066,2,PRD010,600,600,0.83,accepted,Expedite requested by planner
POL000068-1,PO000068,1,PRD009,200,200,1.13,accepted,Inspection certificate required
POL000068-2,PO000068,2,PRD011,1000,1000,1.77,accepted,Inspection certificate required
POL000068-3,PO000068,3,PRD017,700,700,3.30,accepted,Expedite requested by planner
POL000070-1,PO000070,1,PRD010,75,75,0.96,accepted,Inspection certificate required
POL000070-2,PO000070,2,PRD013,500,500,1.37,rejected,Expedite requested by planner
POL000072-1,PO000072,1,PRD018,100,100,3.23,rejected,Expedite requested by planner
POL000074-1,PO000074,1,PRD005,200,200,1.63,accepted,Routine replenishment
POL000074-2,PO000074,2,PRD020,1600,1600,4.21,accepted,Inspection certificate required
POL000075-1,PO000075,1,PRD015,25,25,2.29,accepted,Expedite requested by planner
POL000075-2,PO000075,2,PRD017,400,400,5.07,accepted,Routine replenishment
POL000076-1,PO000076,1,PRD004,200,200,1.33,accepted,Routine replenishment
POL000077-1,PO000077,1,PRD016,1000,1000,3.97,accepted,Partial receipt allowed
POL000078-1,PO000078,1,PRD005,200,200,2.35,accepted,Partial receipt allowed
POL000078-2,PO000078,2,PRD003,100,100,0.57,accepted,Inspection certificate required
POL000078-3,PO000078,3,PRD007,350,350,1.25,accepted,Expedite requested by planner
POL000080-1,PO000080,1,PRD015,1600,1600,3.50,accepted,Routine replenishment
POL000081-1,PO000081,1,PRD015,125,125,2.26,accepted,Routine replenishment
POL000082-1,PO000082,1,PRD015,1000,1000,3.50,accepted,Partial receipt allowed
POL000083-1,PO000083,1,PRD014,250,250,2.69,accepted,Routine replenishment
POL000083-2,PO000083,2,PRD016,800,800,3.97,accepted,Partial receipt allowed
POL000085-1,PO000085,1,PRD009,50,50,0.98,accepted,Routine replenishment
POL000086-1,PO000086,1,PRD001,300,300,2.13,accepted,Routine replenishment
POL000087-1,PO000087,1,PRD017,250,250,4.97,accepted,Partial receipt allowed
POL000087-2,PO000087,2,PRD009,175,175,1.33,accepted,Partial receipt allowed
POL000091-1,PO000091,1,PRD015,175,175,2.26,accepted,Routine replenishment
POL000092-1,PO000092,1,PRD017,500,500,3.30,conditional,Partial receipt allowed
POL000092-2,PO000092,2,PRD011,1200,1025,1.77,accepted,Partial receipt allowed
POL000093-1,PO000093,1,PRD014,300,300,2.69,rejected,Partial receipt allowed
POL000094-1,PO000094,1,PRD013,300,300,1.37,accepted,Inspection certificate required
POL000094-2,PO000094,2,PRD010,75,75,0.96,rejected,Expedite requested by planner
POL000095-1,PO000095,1,PRD020,400,400,3.03,accepted,Routine replenishment
POL000099-1,PO000099,1,PRD004,350,308,2.28,accepted,Expedite requested by planner
POL000100-1,PO000100,1,PRD004,200,200,1.33,conditional,Expedite requested by planner
POL000102-1,PO000102,1,PRD018,175,175,3.23,accepted,Expedite requested by planner
POL000103-1,PO000103,1,PRD006,75,75,1.00,accepted,Expedite requested by planner
POL000105-1,PO000105,1,PRD004,150,150,1.60,accepted,Inspection certificate required
POL000107-1,PO000107,1,PRD006,75,75,1.00,accepted,Partial receipt allowed
POL000111-1,PO000111,1,PRD017,50,50,4.97,accepted,Inspection certificate required
POL000114-1,PO000114,1,PRD015,1600,1431,3.50,accepted,Expedite requested by planner
POL000116-1,PO000116,1,PRD015,25,25,2.29,accepted,Partial receipt allowed
POL000116-2,PO000116,2,PRD017,800,749,5.07,accepted,Inspection certificate required
POL000117-1,PO000117,1,PRD001,250,250,2.43,accepted,Expedite requested by planner
POL000119-1,PO000119,1,PRD012,800,800,1.17,accepted,Expedite requested by planner
POL000119-2,PO000119,2,PRD006,1000,868,1.47,accepted,Expedite requested by planner
POL000120-1,PO000120,1,PRD006,25,23,1.00,accepted,Routine replenishment
POL000121-1,PO000121,1,PRD001,400,396,2.66,accepted,Expedite requested by planner
POL000121-2,PO000121,2,PRD009,50,50,1.15,conditional,Routine replenishment
POL000121-3,PO000121,3,PRD005,1600,1600,2.63,accepted,Routine replenishment
POL000123-1,PO000123,1,PRD009,100,100,1.15,accepted,Routine replenishment
POL000126-1,PO000126,1,PRD012,800,800,1.17,accepted,Expedite requested by planner
POL000126-2,PO000126,2,PRD006,800,800,1.47,accepted,Inspection certificate required
POL000128-1,PO000128,1,PRD004,700,700,1.33,accepted,Routine replenishment
POL000129-1,PO000129,1,PRD013,100,90,1.20,accepted,Expedite requested by planner
POL000129-2,PO000129,2,PRD008,150,136,1.31,accepted,Routine replenishment
POL000130-1,PO000130,1,PRD018,75,75,3.23,accepted,Partial receipt allowed
POL000131-1,PO000131,1,PRD014,200,200,2.69,conditional,Routine replenishment
POL000131-2,PO000131,2,PRD016,800,800,3.97,accepted,Routine replenishment
POL000133-1,PO000133,1,PRD013,175,175,1.20,accepted,Expedite requested by planner
POL000134-1,PO000134,1,PRD009,150,150,1.15,accepted,Inspection certificate required
POL000134-2,PO000134,2,PRD005,400,400,2.63,accepted,Inspection certificate required
POL000135-1,PO000135,1,PRD013,175,175,1.20,accepted,Partial receipt allowed
POL000135-2,PO000135,2,PRD008,175,175,1.31,accepted,Routine replenishment
POL000136-1,PO000136,1,PRD020,400,351,4.28,accepted,Routine replenishment
POL000136-2,PO000136,2,PRD012,25,25,1.18,accepted,Inspection certificate required
POL000136-3,PO000136,3,PRD009,400,372,0.98,accepted,Expedite requested by planner
POL000137-1,PO000137,1,PRD017,1000,1000,5.07,accepted,Routine replenishment
POL000137-2,PO000137,2,PRD015,175,175,2.29,accepted,Routine replenishment
POL000138-1,PO000138,1,PRD002,800,800,1.98,rejected,Partial receipt allowed
POL000138-2,PO000138,2,PRD018,50,50,2.70,accepted,Partial receipt allowed
POL000138-3,PO000138,3,PRD012,1400,1400,0.71,accepted,Expedite requested by planner
POL000139-1,PO000139,1,PRD010,200,200,0.82,accepted,Partial receipt allowed
POL000140-1,PO000140,1,PRD018,200,200,2.70,accepted,Routine replenishment
POL000141-1,PO000141,1,PRD012,50,50,0.94,accepted,Inspection certificate required
POL000142-1,PO000142,1,PRD005,125,125,1.63,accepted,Partial receipt allowed
POL000142-2,PO000142,2,PRD020,200,200,4.21,accepted,Routine replenishment
POL000144-1,PO000144,1,PRD010,150,150,0.57,accepted,Expedite requested by planner
POL000146-1,PO000146,1,PRD020,600,600,4.21,accepted,Partial receipt allowed
POL000146-2,PO000146,2,PRD005,25,25,1.63,rejected,Partial receipt allowed
POL000147-1,PO000147,1,PRD004,125,125,1.64,accepted,Expedite requested by planner
POL000147-2,PO000147,2,PRD011,100,100,2.72,accepted,Partial receipt allowed
POL000148-1,PO000148,1,PRD006,1400,1400,1.47,accepted,Expedite requested by planner
POL000149-1,PO000149,1,PRD019,300,300,1.20,accepted,Expedite requested by planner
POL000149-2,PO000149,2,PRD012,200,177,1.18,accepted,Partial receipt allowed
POL000149-3,PO000149,3,PRD009,50,50,0.98,accepted,Expedite requested by planner
POL000150-1,PO000150,1,PRD020,1600,1600,4.21,conditional,Inspection certificate required
POL000150-2,PO000150,2,PRD005,75,75,1.63,accepted,Routine replenishment
POL000151-1,PO000151,1,PRD015,100,100,2.26,accepted,Expedite requested by planner
POL000152-1,PO000152,1,PRD010,100,100,0.57,accepted,Inspection certificate required
POL000152-2,PO000152,2,PRD017,100,100,4.97,accepted,Routine replenishment
POL000152-3,PO000152,3,PRD009,25,25,1.33,accepted,Partial receipt allowed
POL000155-1,PO000155,1,PRD010,25,25,0.96,accepted,Expedite requested by planner
POL000155-2,PO000155,2,PRD013,300,300,1.37,accepted,Expedite requested by planner
POL000156-1,PO000156,1,PRD005,200,200,2.63,accepted,Partial receipt allowed
POL000157-1,PO000157,1,PRD019,500,500,2.05,conditional,Routine replenishment
POL000157-2,PO000157,2,PRD006,150,150,1.21,accepted,Expedite requested by planner
POL000159-1,PO000159,1,PRD006,125,125,1.00,accepted,Inspection certificate required
POL000160-1,PO000160,1,PRD015,600,539,3.50,accepted,Inspection certificate required
POL000161-1,PO000161,1,PRD018,25,23,3.23,accepted,Expedite requested by planner
POL000162-1,PO000162,1,PRD009,75,75,1.33,accepted,Partial receipt allowed
POL000162-2,PO000162,2,PRD010,250,250,0.57,accepted,Inspection certificate required
POL000165-1,PO000165,1,PRD002,400,389,1.84,accepted,Partial receipt allowed
POL000165-2,PO000165,2,PRD011,400,400,2.79,accepted,Routine replenishment
POL000166-1,PO000166,1,PRD017,200,162,4.97,accepted,Expedite requested by planner
POL000166-2,PO000166,2,PRD009,75,60,1.33,accepted,Partial receipt allowed
POL000167-1,PO000167,1,PRD005,200,200,2.35,accepted,Expedite requested by planner
POL000167-2,PO000167,2,PRD003,100,100,0.57,accepted,Routine replenishment
POL000167-3,PO000167,3,PRD007,400,400,1.25,accepted,Partial receipt allowed
POL000168-1,PO000168,1,PRD017,100,100,4.97,accepted,Inspection certificate required
POL000168-2,PO000168,2,PRD009,50,50,1.33,accepted,Expedite requested by planner
POL000169-1,PO000169,1,PRD016,300,299,4.41,accepted,Routine replenishment
POL000170-1,PO000170,1,PRD006,175,175,1.00,accepted,Routine replenishment
POL000171-1,PO000171,1,PRD004,100,100,1.60,accepted,Inspection certificate required
POL000172-1,PO000172,1,PRD018,150,150,3.23,accepted,Routine replenishment
POL000175-1,PO000175,1,PRD015,125,125,2.29,accepted,Partial receipt allowed
POL000176-1,PO000176,1,PRD015,1200,1200,3.50,conditional,Inspection certificate required
POL000178-1,PO000178,1,PRD011,1000,1000,2.79,accepted,Partial receipt allowed
POL000178-2,PO000178,2,PRD002,1600,1585,1.84,accepted,Partial receipt allowed
POL000179-1,PO000179,1,PRD002,200,200,1.98,conditional,Routine replenishment
POL000181-1,PO000181,1,PRD012,600,600,0.71,rejected,Partial receipt allowed
POL000181-2,PO000181,2,PRD013,500,500,1.03,accepted,Expedite requested by planner
POL000181-3,PO000181,3,PRD002,100,100,1.98,accepted,Inspection certificate required
POL000182-1,PO000182,1,PRD016,600,600,4.41,accepted,Inspection certificate required
POL000184-1,PO000184,1,PRD010,200,200,0.96,rejected,Expedite requested by planner
POL000184-2,PO000184,2,PRD013,200,183,1.37,rejected,Inspection certificate required
POL000185-1,PO000185,1,PRD015,200,200,3.50,accepted,Routine replenishment
POL000187-1,PO000187,1,PRD011,200,182,2.79,accepted,Routine replenishment
POL000187-2,PO000187,2,PRD002,800,800,1.84,accepted,Expedite requested by planner
POL000188-1,PO000188,1,PRD014,400,400,2.69,accepted,Expedite requested by planner
POL000188-2,PO000188,2,PRD016,1400,1383,3.97,accepted,Partial receipt allowed
POL000189-1,PO000189,1,PRD017,200,200,5.07,accepted,Routine replenishment
POL000189-2,PO000189,2,PRD015,75,75,2.29,accepted,Expedite requested by planner
POL000190-1,PO000190,1,PRD004,200,185,1.33,accepted,Expedite requested by planner
POL000194-1,PO000194,1,PRD009,800,800,1.13,accepted,Routine replenishment
POL000194-2,PO000194,2,PRD017,400,359,3.30,rejected,Expedite requested by planner
POL000194-3,PO000194,3,PRD011,1400,1400,1.77,accepted,Expedite requested by planner
POL000195-1,PO000195,1,PRD011,1200,1122,2.79,accepted,Routine replenishment
POL000196-1,PO000196,1,PRD005,200,200,2.35,accepted,Inspection certificate required
POL000196-2,PO000196,2,PRD007,250,238,1.25,accepted,Partial receipt allowed
POL000197-1,PO000197,1,PRD001,300,300,2.66,accepted,Expedite requested by planner
POL000197-2,PO000197,2,PRD009,125,125,1.15,accepted,Partial receipt allowed
POL000197-3,PO000197,3,PRD005,400,400,2.63,accepted,Inspection certificate required
POL000198-1,PO000198,1,PRD012,125,125,1.18,accepted,Inspection certificate required
POL000198-2,PO000198,2,PRD019,300,271,1.20,accepted,Expedite requested by planner
POL000198-3,PO000198,3,PRD009,150,150,0.98,accepted,Expedite requested by planner
POL000199-1,PO000199,1,PRD020,500,500,3.03,accepted,Inspection certificate required
POL000200-1,PO000200,1,PRD003,300,300,0.54,accepted,Expedite requested by planner
POL000201-1,PO000201,1,PRD020,200,200,4.28,accepted,Inspection certificate required
POL000201-2,PO000201,2,PRD019,400,400,1.20,accepted,Inspection certificate required
POL000201-3,PO000201,3,PRD009,50,50,0.98,accepted,Expedite requested by planner
POL000202-1,PO000202,1,PRD018,100,92,2.70,accepted,Expedite requested by planner
POL000205-1,PO000205,1,PRD012,1000,978,0.71,accepted,Expedite requested by planner
POL000205-2,PO000205,2,PRD013,600,600,1.03,accepted,Routine replenishment
POL000205-3,PO000205,3,PRD018,300,300,2.70,accepted,Expedite requested by planner
POL000206-1,PO000206,1,PRD004,175,159,1.60,accepted,Expedite requested by planner
POL000207-1,PO000207,1,PRD011,1600,1600,2.79,accepted,Partial receipt allowed
POL000207-2,PO000207,2,PRD002,400,400,1.84,accepted,Expedite requested by planner
POL000210-1,PO000210,1,PRD005,1200,1200,2.63,accepted,Partial receipt allowed
POL000210-2,PO000210,2,PRD009,25,25,1.15,accepted,Routine replenishment
POL000211-1,PO000211,1,PRD010,500,500,0.83,accepted,Inspection certificate required
POL000212-1,PO000212,1,PRD010,400,400,0.83,accepted,Routine replenishment
POL000212-2,PO000212,2,PRD016,150,150,4.22,accepted,Partial receipt allowed
POL000212-3,PO000212,3,PRD007,200,200,0.99,accepted,Expedite requested by planner
POL000213-1,PO000213,1,PRD015,1600,1600,3.50,accepted,Expedite requested by planner
POL000214-1,PO000214,1,PRD001,250,237,2.43,accepted,Inspection certificate required
POL000214-2,PO000214,2,PRD002,75,75,1.54,accepted,Routine replenishment
POL000214-3,PO000214,3,PRD014,200,200,3.44,accepted,Inspection certificate required
POL000215-1,PO000215,1,PRD017,400,400,3.30,accepted,Partial receipt allowed
POL000215-2,PO000215,2,PRD011,200,200,1.77,rejected,Partial receipt allowed
POL000216-1,PO000216,1,PRD017,1200,1200,5.07,accepted,Partial receipt allowed
POL000216-2,PO000216,2,PRD015,50,45,2.29,accepted,Partial receipt allowed
POL000217-1,PO000217,1,PRD004,125,125,1.60,rejected,Expedite requested by planner
POL000218-1,PO000218,1,PRD020,500,500,3.03,conditional,Inspection certificate required
POL000219-1,PO000219,1,PRD018,175,169,3.23,accepted,Expedite requested by planner
POL000220-1,PO000220,1,PRD017,500,500,3.30,accepted,Expedite requested by planner
POL000220-2,PO000220,2,PRD009,1600,1600,1.13,accepted,Routine replenishment
POL000220-3,PO000220,3,PRD011,200,169,1.77,accepted,Routine replenishment
POL000221-1,PO000221,1,PRD003,200,200,0.54,accepted,Expedite requested by planner
POL000223-1,PO000223,1,PRD014,350,350,2.69,accepted,Partial receipt allowed
POL000223-2,PO000223,2,PRD016,1200,1200,3.97,accepted,Partial receipt allowed
POL000224-1,PO000224,1,PRD003,25,25,0.57,accepted,Routine replenishment
POL000224-2,PO000224,2,PRD007,300,300,1.25,accepted,Inspection certificate required
POL000224-3,PO000224,3,PRD005,200,200,2.35,accepted,Partial receipt allowed
POL000225-1,PO000225,1,PRD003,25,25,0.57,accepted,Expedite requested by planner
POL000226-1,PO000226,1,PRD002,1600,1600,1.84,accepted,Partial receipt allowed
POL000230-1,PO000230,1,PRD002,1200,1048,1.84,accepted,Expedite requested by planner
POL000230-2,PO000230,2,PRD011,800,800,2.79,rejected,Partial receipt allowed
POL000231-1,PO000231,1,PRD014,50,45,2.69,accepted,Partial receipt allowed
POL000231-2,PO000231,2,PRD016,1400,1400,3.97,accepted,Routine replenishment
POL000232-1,PO000232,1,PRD015,150,150,2.29,accepted,Inspection certificate required
POL000234-1,PO000234,1,PRD008,1600,1600,1.85,accepted,Expedite requested by planner
POL000235-1,PO000235,1,PRD004,25,25,1.60,accepted,Expedite requested by planner
POL000236-1,PO000236,1,PRD015,75,68,2.29,conditional,Inspection certificate required
POL000236-2,PO000236,2,PRD017,600,559,5.07,accepted,Inspection certificate required
POL000237-1,PO000237,1,PRD020,200,200,4.21,accepted,Expedite requested by planner
POL000238-1,PO000238,1,PRD014,200,200,3.44,rejected,Partial receipt allowed
POL000238-2,PO000238,2,PRD002,75,75,1.54,accepted,Expedite requested by planner
POL000239-1,PO000239,1,PRD003,100,100,0.54,accepted,Partial receipt allowed
POL000240-1,PO000240,1,PRD004,500,500,1.33,accepted,Partial receipt allowed
POL000241-1,PO000241,1,PRD005,800,800,2.35,accepted,Routine replenishment
POL000241-2,PO000241,2,PRD007,100,99,1.25,accepted,Inspection certificate required
POL000242-1,PO000242,1,PRD019,100,100,2.05,rejected,Inspection certificate required
POL000243-1,PO000243,1,PRD018,500,500,2.24,accepted,Routine replenishment
POL000243-2,PO000243,2,PRD001,350,350,2.13,accepted,Expedite requested by planner
POL000244-1,PO000244,1,PRD009,25,23,1.15,accepted,Inspection certificate required
POL000246-1,PO000246,1,PRD006,1600,1600,1.47,accepted,Expedite requested by planner
POL000246-2,PO000246,2,PRD012,300,300,1.17,accepted,Partial receipt allowed
POL000247-1,PO000247,1,PRD006,150,150,1.21,accepted,Inspection certificate required
POL000247-2,PO000247,2,PRD012,350,350,0.94,accepted,Inspection certificate required
POL000247-3,PO000247,3,PRD019,400,400,2.05,accepted,Expedite requested by planner
POL000248-1,PO000248,1,PRD020,200,162,4.21,accepted,Expedite requested by planner
POL000252-1,PO000252,1,PRD004,125,125,1.64,accepted,Inspection certificate required
POL000252-2,PO000252,2,PRD011,600,600,2.72,conditional,Inspection certificate required
POL000253-1,PO000253,1,PRD011,800,800,1.77,accepted,Routine replenishment
POL000253-2,PO000253,2,PRD017,300,300,3.30,accepted,Partial receipt allowed
POL000253-3,PO000253,3,PRD009,1600,1600,1.13,accepted,Routine replenishment
POL000254-1,PO000254,1,PRD002,500,500,1.98,accepted,Inspection certificate required
POL000256-1,PO000256,1,PRD009,200,200,1.33,accepted,Inspection certificate required
POL000256-2,PO000256,2,PRD017,350,350,4.97,accepted,Partial receipt allowed
POL000256-3,PO000256,3,PRD010,400,367,0.57,rejected,Expedite requested by planner
POL000257-1,PO000257,1,PRD018,350,338,2.70,rejected,Routine replenishment
POL000258-1,PO000258,1,PRD001,500,500,2.66,accepted,Routine replenishment
POL000258-2,PO000258,2,PRD009,100,100,1.15,accepted,Routine replenishment
POL000260-1,PO000260,1,PRD017,400,400,5.07,conditional,Inspection certificate required
POL000260-2,PO000260,2,PRD015,100,82,2.29,accepted,Inspection certificate required
POL000261-1,PO000261,1,PRD010,200,200,0.96,accepted,Partial receipt allowed
POL000262-1,PO000262,1,PRD002,200,200,1.84,rejected,Routine replenishment
POL000263-1,PO000263,1,PRD018,100,100,3.23,accepted,Expedite requested by planner
POL000264-1,PO000264,1,PRD009,800,800,1.13,conditional,Routine replenishment
POL000264-2,PO000264,2,PRD011,200,200,1.77,accepted,Routine replenishment
POL000264-3,PO000264,3,PRD017,800,800,3.30,accepted,Expedite requested by planner
POL000265-1,PO000265,1,PRD004,700,700,1.33,accepted,Partial receipt allowed
POL000266-1,PO000266,1,PRD004,400,400,1.33,conditional,Inspection certificate required
POL000267-1,PO000267,1,PRD005,400,400,2.63,accepted,Inspection certificate required
POL000267-2,PO000267,2,PRD009,175,153,1.15,accepted,Routine replenishment
POL000268-1,PO000268,1,PRD016,800,800,3.97,accepted,Routine replenishment
POL000269-1,PO000269,1,PRD002,50,46,1.54,conditional,Routine replenishment
POL000269-2,PO000269,2,PRD014,100,100,3.44,conditional,Expedite requested by planner
POL000269-3,PO000269,3,PRD015,150,135,2.26,accepted,Partial receipt allowed
POL000270-1,PO000270,1,PRD014,250,250,2.69,conditional,Routine replenishment
POL000270-2,PO000270,2,PRD016,1600,1600,3.97,accepted,Partial receipt allowed
POL000272-1,PO000272,1,PRD004,175,175,1.64,accepted,Inspection certificate required
POL000272-2,PO000272,2,PRD011,800,800,2.72,accepted,Routine replenishment
POL000275-1,PO000275,1,PRD006,75,75,1.00,accepted,Inspection certificate required
POL000276-1,PO000276,1,PRD004,300,300,2.28,accepted,Routine replenishment
POL000276-2,PO000276,2,PRD001,100,100,2.13,accepted,Partial receipt allowed
POL000276-3,PO000276,3,PRD018,600,600,2.24,accepted,Inspection certificate required
POL000278-1,PO000278,1,PRD020,1400,1155,4.21,accepted,Expedite requested by planner
POL000279-1,PO000279,1,PRD019,400,400,2.05,accepted,Partial receipt allowed
POL000279-2,PO000279,2,PRD006,125,125,1.21,accepted,Inspection certificate required
POL000280-1,PO000280,1,PRD011,300,256,2.72,accepted,Partial receipt allowed
POL000280-2,PO000280,2,PRD004,100,100,1.64,accepted,Routine replenishment
POL000282-1,PO000282,1,PRD013,150,150,1.20,accepted,Inspection certificate required
POL000282-2,PO000282,2,PRD008,200,200,1.31,accepted,Partial receipt allowed
POL000284-1,PO000284,1,PRD003,50,50,0.54,conditional,Expedite requested by planner
POL000285-1,PO000285,1,PRD010,150,150,0.82,accepted,Expedite requested by planner
POL000286-1,PO000286,1,PRD007,200,167,1.25,accepted,Inspection certificate required
POL000286-2,PO000286,2,PRD005,1000,1000,2.35,accepted,Inspection certificate required
POL000286-3,PO000286,3,PRD003,125,125,0.57,accepted,Expedite requested by planner
POL000287-1,PO000287,1,PRD006,75,75,1.00,accepted,Routine replenishment
POL000288-1,PO000288,1,PRD003,250,250,0.54,accepted,Partial receipt allowed
POL000289-1,PO000289,1,PRD018,200,186,2.24,accepted,Partial receipt allowed
