customer_id,customer_name,region_id
C155,Single Household 155,R005
C156,Single Household 156,R004
C157,Senior Household 157,R002
C158,Small Business 158,R006
C159,Senior Household 159,R001
C160,Community Organization 160,R007
C161,Community Organization 161,R008
C162,Family Household 162,R007
C163,Family Household 163,R005
C164,Small Business 164,R005
C165,Family Household 165,R005
C166,Single Household 166,R006
C167,Senior Household 167,R008
C168,Community Organization 168,R001
C169,Single Household 169,R006
C170,Small Business 170,R007
C171,Single Household 171,R004
C172,Community Organization 172,R002
C173,Family Household 173,R004
C174,Single Household 174,R008
C175,Small Business 175,R004
C176,Single Household 176,R008
C177,Community Organization 177,R008
C178,Community Organization 178,R001
C179,Small Business 179,R005
C180,Family Household 180,R004
C181,Small Business 181,R005
C182,Single Household 182,R006
C183,Community Organization 183,R006
C184,Community Organization 184,R001
C185,Family Household 185,R007
C186,Community Organization 186,R005
C187,Student Household 187,R001
C188,Small Business 188,R003
C189,Community Organization 189,R004
C190,Single Household 190,R007
C191,Student Household 191,R001
C192,Single Household 192,R005
C193,Single Household 193,R005
C194,Student Household 194,R006
C195,Single Household 195,R004
C196,Family Household 196,R007
C197,Student Household 197,R007
C198,Family Household 198,R008
C199,Senior Household 199,R008
C200,Student Household 200,R008
C201,Community Organization 201,R002
C202,Senior Household 202,R008
C203,Community Organization 203,R003
C204,Senior Household 204,R006
C205,Senior Household 205,R007
C206,Student Household 206,R003
C207,Student Household 207,R006
C208,Single Household 208,R008
C209,Single Household 209,R008
C210,Student Household 210,R008
C211,Single Household 211,R003
C212,Small Business 212,R004
C213,Community Organization 213,R007
C214,Single Household 214,R002
C215,Small Business 215,R005
C216,Small Business 216,R003
C217,Community Organization 217,R004
C218,Family Household 218,R007
C219,Single Household 219,R008
C220,Community Organization 220,R001
C221,Small Business 221,R002
C222,Student Household 222,R002
C223,Family Household 223,R005
C224,Community Organization 224,R004
C225,Family Household 225,R003
C226,Student Household 226,R006
C227,Community Organization 227,R007
C228,Family Household 228,R008
C229,Small Business 229,R001
C230,Student Household 230,R007
C231,Community Organization 231,R004
C232,Small Business 232,R005
C233,Single Household 233,R008
C234,Family Household 234,R002
C235,Senior Household 235,R005
C236,Senior Household 236,R002
C237,Senior Household 237,R001
C238,Small Business 238,R005
C239,Family Household 239,R005
C240,Single Household 240,R006
