"document_link_id","document_id","entity_type","entity_id","relationship","extracted_excerpt","confidence"
"DL00021","DOC00021","contract","CTR00077","describes","CTR00077's delivery commitments were breached as a direct consequence of outage DT0141 on Cartoner 002.","0.93"
"DL00022","DOC00022","contract","CTR00038","describes","Because DT0208 kept Checkweigher 001 down, the volume promised under CTR00038 could not be fulfilled on schedule.","0.81"
"DL00023","DOC00023","contract","CTR00108","describes","Because DT0165 kept Filling Machine 039 down, the volume promised under CTR00108 could not be fulfilled on schedule.","0.97"
"DL00024","DOC00024","contract","CTR00110","describes","The extended stoppage DT0065 on Label Applicator 024 rippled downstream: shipments under contract CTR00110 slipped and the customer's committed delivery window was missed.","0.98"
"DL00025","DOC00025","contract","CTR00078","describes","Operations flagged that DT0167 caused Filling Machine 009 to miss the dispatch tied to contract CTR00078.","0.93"
"DL00026","DOC00026","contract","CTR00150","describes","A missed-commitment note links DT0199 to CTR00150: the outage on Cartoner 028 delayed the contracted lot.","0.84"
"DL00027","DOC00027","contract","CTR00138","describes","Operations flagged that DT0175 caused Checkweigher 012 to miss the dispatch tied to contract CTR00138.","0.88"
"DL00028","DOC00028","contract","CTR00004","describes","Because DT0055 kept Conveyor 014 down, the volume promised under CTR00004 could not be fulfilled on schedule.","0.84"
"DL00029","DOC00029","contract","CTR00112","describes","Because DT005 kept Conveyor 003 down, the volume promised under CTR00112 could not be fulfilled on schedule.","0.93"
"DL00030","DOC00030","contract","CTR00082","describes","A missed-commitment note links DT0200 to CTR00082: the outage on Filling Machine 004 delayed the contracted lot.","0.86"
"DL00031","DOC00031","purchase_order","PO000680","describes","Procurement expedited PO000680 to obtain the part needed after anomaly AE0034 was flagged on Case Packer 013.","0.88"
"DL00032","DOC00032","purchase_order","PO000362","describes","The buyer opened PO000362 against Everyday Consumer Goods 38 to correct the fault recorded as AE0086.","0.86"
"DL00033","DOC00033","purchase_order","PO000240","describes","Procurement expedited PO000240 to obtain the part needed after anomaly AE0118 was flagged on Conveyor 034.","0.87"
"DL00034","DOC00034","purchase_order","PO000219","describes","The buyer opened PO000219 against Freshway Consumer Goods 14 to correct the fault recorded as AE0134.","0.94"
"DL00035","DOC00035","purchase_order","PO000521","describes","Notes tie PO000521 to AE0131: the order covered the replacement that the anomaly required.","0.81"
"DL00036","DOC00036","purchase_order","PO000461","describes","To address AE0176, an expedited order PO000461 was placed with the supplier.","0.91"
"DL00037","DOC00037","purchase_order","PO000021","describes","Notes tie PO000021 to AE0175: the order covered the replacement that the anomaly required.","0.81"
"DL00038","DOC00038","purchase_order","PO000604","describes","Notes tie PO000604 to AE0094: the order covered the replacement that the anomaly required.","0.92"
"DL00039","DOC00039","purchase_order","PO000153","describes","The buyer opened PO000153 against HomeChoice Consumer Goods 29 to correct the fault recorded as AE0211.","0.95"
"DL00040","DOC00040","purchase_order","PO000277","describes","Procurement expedited PO000277 to obtain the part needed after anomaly AE0130 was flagged on Metal Detector 031.","0.99"
"DL00041","DOC00041","purchase_order","PO000488","describes","The buyer opened PO000488 against Everyday Consumer Goods 32 to correct the fault recorded as AE0162.","0.89"
"DL00042","DOC00042","purchase_order","PO000087","describes","PO000087 was raised on a rush basis specifically to remedy AE0158.","0.89"
"DL00043","DOC00043","purchase_order","PO000497","describes","Notes tie PO000497 to AE007: the order covered the replacement that the anomaly required.","0.86"
"DL00044","DOC00044","purchase_order","PO000589","describes","The buyer opened PO000589 against Everyday Consumer Goods 12 to correct the fault recorded as AE0114.","0.80"
"DL00045","DOC00045","purchase_order","PO000434","describes","Procurement expedited PO000434 to obtain the part needed after anomaly AE0013 was flagged on Label Applicator 029.","0.86"
"DL00046","DOC00046","service_ticket","TKT000327","describes","Because no local inventory covered TKT000327, the swap unit was ordered on PO000129.","0.94"
"DL00047","DOC00047","service_ticket","TKT000236","describes","TKT000236 was resolved by dispatching a replacement procured under PO000043.","0.98"
"DL00048","DOC00048","service_ticket","TKT000183","describes","To satisfy TKT000183, a substitute unit was sourced through PO000559 rather than local stock.","0.82"
"DL00049","DOC00049","service_ticket","TKT000281","describes","Because no local inventory covered TKT000281, the swap unit was ordered on PO000386.","0.83"
"DL00050","DOC00050","service_ticket","TKT000266","describes","The replacement unit shipped to close complaint TKT000266 was not held locally; it came in under purchase order PO000612.","0.93"
"DL00051","DOC00051","service_ticket","TKT000003","describes","Because no local inventory covered TKT000003, the swap unit was ordered on PO000193.","0.90"
"DL00052","DOC00052","service_ticket","TKT000079","describes","The replacement unit shipped to close complaint TKT000079 was not held locally; it came in under purchase order PO000205.","0.92"
"DL00053","DOC00053","service_ticket","TKT000318","describes","TKT000318 was resolved by dispatching a replacement procured under PO000608.","0.88"
"DL00054","DOC00054","service_ticket","TKT000248","describes","Because no local inventory covered TKT000248, the swap unit was ordered on PO000243.","0.95"
"DL00055","DOC00055","service_ticket","TKT000071","describes","The replacement unit shipped to close complaint TKT000071 was not held locally; it came in under purchase order PO000162.","0.84"
"DL00056","DOC00056","service_ticket","TKT000305","describes","The replacement unit shipped to close complaint TKT000305 was not held locally; it came in under purchase order PO000129.","0.94"
"DL00057","DOC00057","service_ticket","TKT000061","describes","Because no local inventory covered TKT000061, the swap unit was ordered on PO000657.","0.81"
"DL00058","DOC00058","service_ticket","TKT000411","describes","To satisfy TKT000411, a substitute unit was sourced through PO000259 rather than local stock.","0.98"
"DL00059","DOC00059","service_ticket","TKT000255","describes","TKT000255 was resolved by dispatching a replacement procured under PO000230.","0.91"
"DL00060","DOC00060","service_ticket","TKT000140","describes","TKT000140 was resolved by dispatching a replacement procured under PO000088.","0.85"
"DL00061","DOC00061","contract","CTR00135","describes","Under CTR00135, Single Household 193 commits to a fixed annual volume of Food Storage Containers 10pc (PRD015).","0.93"
"DL00062","DOC00062","contract","CTR00071","describes","The volume commitment in CTR00071 applies specifically to LED Light Bulb 4-Pack (PRD014).","0.83"
"DL00063","DOC00063","contract","CTR00059","describes","CTR00059 locks in a set quantity of Kids Building Blocks 120pc (PRD017); that SKU is the sole product covered by the agreement.","0.98"
"DL00064","DOC00064","contract","CTR00112","describes","Family Household 173's contract CTR00112 guarantees offtake of All-Purpose Cleaner 1L (PRD012) each year.","0.94"
"DL00065","DOC00065","contract","CTR00139","describes","Under CTR00139, Senior Household 204 commits to a fixed annual volume of Paper Towels 6-Roll (PRD005).","0.86"
"DL00066","DOC00066","contract","CTR00074","describes","The volume commitment in CTR00074 applies specifically to Drawstring Trash Bags 30ct (PRD011).","0.85"
"DL00067","DOC00067","contract","CTR00068","describes","CTR00068 locks in a set quantity of AA Alkaline Batteries 16-Pack (PRD020); that SKU is the sole product covered by the agreement.","0.88"
"DL00068","DOC00068","contract","CTR00160","describes","Under CTR00160, Single Household 010 commits to a fixed annual volume of Chicken Recipe Pet Treats 400g (PRD019).","0.83"
"DL00069","DOC00069","contract","CTR00080","describes","Under CTR00080, Family Household 025 commits to a fixed annual volume of Facial Tissue 3-Pack (PRD013).","0.82"
"DL00070","DOC00070","contract","CTR00060","describes","CTR00060 locks in a set quantity of Kids Building Blocks 120pc (PRD017); that SKU is the sole product covered by the agreement.","0.90"
"DL00071","DOC00071","contract","CTR00161","describes","The volume commitment in CTR00161 applies specifically to Frozen Mixed Vegetables 1kg (PRD009).","0.94"
"DL00072","DOC00072","contract","CTR00091","describes","Under CTR00091, Family Household 031 commits to a fixed annual volume of Tomato Pasta Sauce 680g (PRD003).","0.93"
"DL00073","DOC00073","contract","CTR00173","describes","The volume commitment in CTR00173 applies specifically to Facial Tissue 3-Pack (PRD013).","0.97"
"DL00074","DOC00074","contract","CTR00131","describes","Under CTR00131, Single Household 190 commits to a fixed annual volume of Drawstring Trash Bags 30ct (PRD011).","0.98"
"DL00075","DOC00075","contract","CTR00136","describes","The volume commitment in CTR00136 applies specifically to Chicken Recipe Pet Treats 400g (PRD019).","0.93"
"DL00076","DOC00076","service_ticket","TKT000335","describes","Engineering linked TKT000335 to the fault AE0157 recorded during the same period.","0.87"
"DL00077","DOC00077","service_ticket","TKT000380","describes","Engineering linked TKT000380 to the fault AE0135 recorded during the same period.","0.95"
"DL00078","DOC00078","service_ticket","TKT000288","describes","Complaint TKT000288 was escalated to engineering, which traced it to anomaly AE0047 on Conveyor 008.","0.82"
"DL00079","DOC00079","service_ticket","TKT000398","describes","TKT000398 was escalated; reliability tied it to anomaly AE0207.","0.92"
"DL00080","DOC00080","service_ticket","TKT000471","describes","TKT000471 was escalated; reliability tied it to anomaly AE0156.","0.82"
"DL00081","DOC00081","service_ticket","TKT000441","describes","Engineering linked TKT000441 to the fault AE0138 recorded during the same period.","0.82"
"DL00082","DOC00082","service_ticket","TKT000394","describes","The root cause behind TKT000394 was identified as AE0106.","0.82"
"DL00083","DOC00083","service_ticket","TKT000167","describes","TKT000167 was escalated; reliability tied it to anomaly AE0015.","0.87"
"DL00084","DOC00084","service_ticket","TKT000389","describes","Engineering linked TKT000389 to the fault AE0161 recorded during the same period.","0.82"
"DL00085","DOC00085","service_ticket","TKT000439","describes","Complaint TKT000439 was escalated to engineering, which traced it to anomaly AE0210 on Cartoner 036.","0.90"
"DL00086","DOC00086","service_ticket","TKT000257","describes","TKT000257 was escalated; reliability tied it to anomaly AE0075.","0.83"
"DL00087","DOC00087","service_ticket","TKT000188","describes","The root cause behind TKT000188 was identified as AE001.","0.94"
"DL00088","DOC00088","service_ticket","TKT000414","describes","TKT000414 was escalated; reliability tied it to anomaly AE0106.","0.81"
"DL00089","DOC00089","service_ticket","TKT000413","describes","Complaint TKT000413 was escalated to engineering, which traced it to anomaly AE0151 on Palletizer 040.","0.92"
"DL00090","DOC00090","service_ticket","TKT000409","describes","TKT000409 was escalated; reliability tied it to anomaly AE0201.","0.87"
"DL00091","DOC00091","purchase_order","PO000382","describes","Quality traced anomaly AE0101 on Filling Machine 010 back to substandard components supplied on PO000382.","0.81"
"DL00092","DOC00092","purchase_order","PO000386","describes","Quality traced anomaly AE0059 on Label Applicator 037 back to substandard components supplied on PO000386.","0.90"
"DL00093","DOC00093","purchase_order","PO000533","describes","Downtime DT0200 was attributed to the late delivery of PO000533, which starved the line of parts.","0.83"
"DL00094","DOC00094","purchase_order","PO000633","describes","The delayed arrival of purchase order PO000633 left Filling Machine 005 without materials and triggered downtime DT0097.","0.80"
"DL00095","DOC00095","contract","CTR00019","describes","CTR00019 explicitly excludes Whole Grain Cereal 500g (PRD006) from its committed volume; that SKU is handled under a separate spot arrangement.","0.86"
"DL00096","DOC00096","contract","CTR00174","describes","CTR00174 explicitly excludes Food Storage Containers 10pc (PRD015) from its committed volume; that SKU is handled under a separate spot arrangement.","0.88"
"DL00097","DOC00097","contract","CTR00153","describes","CTR00153 covers Family Household 163 (C163) from 2025-09-12 through 2028-09-11 at the busi","0.83"
"DL00098","DOC00098","purchase_order","PO000078","describes","PO000078 was issued to Everyday Consumer Goods 08 (SUP008) on 2026-12-01 with expected dat","0.84"
"DL00099","DOC00099","purchase_order","PO000472","describes","PO000472 was issued to Everyday Consumer Goods 32 (SUP032) on 2026-10-31 with expected dat","0.98"
"DL00100","DOC00100","anomaly","AE0157","describes","AE0157 on EQ011 (Metal Detector 011) was recorded as a high label vision inspection failur","0.92"
"DL00101","DOC00101","contract","CTR00027","describes","CTR00027 covers Community Organization 177 (C177) from 2025-04-24 through 2027-04-24 at th","0.88"
"DL00102","DOC00102","service_ticket","TKT000046","describes","TKT000046 for Small Business 143 (C143) concerns Refund status question on PRD020; recorde","0.94"
"DL00103","DOC00103","purchase_order","PO000673","describes","PO000673 was issued to ValueMart Consumer Goods 04 (SUP004) on 2026-02-12 with expected da","0.98"
"DL00104","DOC00104","anomaly","AE0109","describes","AE0109 on EQ009 (Filling Machine 009) was recorded as a high barcode sensor dropout event.","0.89"
"DL00105","DOC00105","anomaly","AE0016","describes","AE0016 on EQ036 (Cartoner 036) was recorded as a medium packing cycle time deviation event","0.80"
"DL00106","DOC00106","service_ticket","TKT000331","describes","TKT000331 for Family Household 234 (C234) concerns Item quality below expectation on PRD01","0.88"
"DL00107","DOC00107","contract","CTR00178","describes","CTR00178 covers Single Household 062 (C062) from 2024-12-22 through 2025-12-22 at the busi","0.87"
"DL00108","DOC00108","anomaly","AE0048","describes","AE0048 on EQ009 (Filling Machine 009) was recorded as a low sealing pressure loss event. T","0.87"
"DL00109","DOC00109","anomaly","AE0154","describes","AE0154 on EQ030 (Cartoner 030) was recorded as a low conveyor bearing vibration event. The","0.88"
"DL00110","DOC00110","purchase_order","PO000160","describes","PO000160 was issued to Northstar Consumer Goods 11 (SUP011) on 2024-02-25 with expected da","0.87"
"DL00111","DOC00111","contract","CTR00096","describes","CTR00096 covers Student Household 117 (C117) from 2025-11-03 through 2026-11-03 at the plu","0.92"
"DL00112","DOC00112","purchase_order","PO000209","describes","PO000209 was issued to Everyday Consumer Goods 32 (SUP032) on 2024-11-15 with expected dat","0.86"
"DL00113","DOC00113","purchase_order","PO000560","describes","PO000560 was issued to Everyday Consumer Goods 22 (SUP022) on 2025-08-24 with expected dat","0.84"
"DL00114","DOC00114","contract","CTR00125","describes","CTR00125 covers Community Organization 118 (C118) from 2025-08-06 through 2026-08-06 at th","0.81"
"DL00115","DOC00115","contract","CTR00012","describes","CTR00012 covers Senior Household 149 (C149) from 2025-07-20 through 2027-07-20 at the plus","0.83"
"DL00116","DOC00116","purchase_order","PO000603","describes","PO000603 was issued to ValueMart Consumer Goods 23 (SUP023) on 2026-01-16 with expected da","0.86"
"DL00117","DOC00117","service_ticket","TKT000425","describes","TKT000425 for Community Organization 078 (C078) concerns Ingredient or product information","0.92"
"DL00118","DOC00118","service_ticket","TKT000323","describes","TKT000323 for Senior Household 066 (C066) concerns Missing item or component on PRD004; re","0.83"
"DL00119","DOC00119","contract","CTR00030","describes","CTR00030 covers Family Household 113 (C113) from 2024-02-12 through 2027-02-11 at the plus","0.82"
"DL00120","DOC00120","purchase_order","PO000240","describes","PO000240 was issued to Freshway Consumer Goods 21 (SUP021) on 2025-04-20 with expected dat","0.97"
"DL00121","DOC00121","service_ticket","TKT000143","describes","TKT000143 for Small Business 179 (C179) concerns Missing item or component on PRD003; reco","0.86"
"DL00122","DOC00122","service_ticket","TKT000433","describes","TKT000433 for Senior Household 167 (C167) concerns Refund status question on PRD012; recor","0.85"
"DL00123","DOC00123","contract","CTR00055","describes","CTR00055 covers Community Organization 183 (C183) from 2026-11-01 through 2028-10-31 at th","0.95"
"DL00124","DOC00124","service_ticket","TKT000074","describes","TKT000074 for Senior Household 066 (C066) concerns Missing item or component on PRD013; re","0.94"
"DL00125","DOC00125","contract","CTR00041","describes","CTR00041 covers Community Organization 144 (C144) from 2025-10-25 through 2027-10-25 at th","0.94"
"DL00126","DOC00126","service_ticket","TKT000443","describes","TKT000443 for Senior Household 138 (C138) concerns Missing item or component on PRD015; re","0.95"
"DL00127","DOC00127","anomaly","AE0152","describes","AE0152 on EQ005 (Filling Machine 005) was recorded as a medium conveyor bearing vibration ","0.92"
"DL00128","DOC00128","purchase_order","PO000513","describes","PO000513 was issued to HomeChoice Consumer Goods 29 (SUP029) on 2025-11-27 with expected d","0.88"
"DL00129","DOC00129","contract","CTR00056","describes","CTR00056 covers Senior Household 111 (C111) from 2025-07-30 through 2026-07-30 at the basi","0.89"
"DL00130","DOC00130","contract","CTR00145","describes","CTR00145 covers Senior Household 035 (C035) from 2026-07-30 through 2027-07-30 at the busi","0.89"
"DL00131","DOC00131","service_ticket","TKT000376","describes","TKT000376 for Small Business 154 (C154) concerns Item quality below expectation on PRD013;","0.98"
"DL00132","DOC00132","anomaly","AE0122","describes","AE0122 on EQ035 (Metal Detector 035) was recorded as a critical barcode sensor dropout eve","0.98"
"DL00133","DOC00133","service_ticket","TKT000395","describes","TKT000395 for Small Business 041 (C041) concerns Wrong item received on PRD004; recorded a","0.85"
"DL00134","DOC00134","service_ticket","TKT000025","describes","TKT000025 for Student Household 230 (C230) concerns Item quality below expectation on PRD0","0.88"
"DL00135","DOC00135","anomaly","AE0089","describes","AE0089 on EQ035 (Metal Detector 035) was recorded as a medium power instability event. The","0.86"
"DL00136","DOC00136","anomaly","AE0208","describes","AE0208 on EQ001 (Checkweigher 001) was recorded as a high label vision inspection failure ","0.99"
"DL00137","DOC00137","anomaly","AE0073","describes","AE0073 on EQ035 (Metal Detector 035) was recorded as a medium packing cycle time deviation","0.92"
"DL00138","DOC00138","service_ticket","TKT000106","describes","TKT000106 for Single Household 010 (C010) concerns Missing item or component on PRD015; re","0.90"
"DL00139","DOC00139","anomaly","AE0059","describes","AE0059 on EQ037 (Label Applicator 037) was recorded as a low packing cycle time deviation ","0.82"
"DL00140","DOC00140","purchase_order","PO000366","describes","PO000366 was issued to Northstar Consumer Goods 09 (SUP009) on 2026-01-17 with expected da","0.89"
"DL00141","DOC00141","service_ticket","TKT000065","describes","TKT000065 for Community Organization 073 (C073) concerns Refund status question on PRD013;","0.91"
"DL00142","DOC00142","contract","CTR00145","describes","CTR00145 covers Senior Household 035 (C035) from 2026-07-30 through 2027-07-30 at the busi","0.83"
"DL00143","DOC00143","service_ticket","TKT000127","describes","TKT000127 for Single Household 182 (C182) concerns Refund status question on PRD006; recor","0.82"
"DL00144","DOC00144","contract","CTR00163","describes","CTR00163 covers Student Household 017 (C017) from 2026-09-30 through 2027-09-30 at the bas","0.96"
"DL00145","DOC00145","service_ticket","TKT000473","describes","TKT000473 for Small Business 229 (C229) concerns Ingredient or product information request","0.87"
"DL00146","DOC00146","anomaly","AE0162","describes","AE0162 on EQ019 (Filling Machine 019) was recorded as a medium sealing pressure loss event","0.95"
"DL00147","DOC00147","anomaly","AE0038","describes","AE0038 on EQ040 (Palletizer 040) was recorded as a medium conveyor bearing vibration event","0.90"
"DL00148","DOC00148","anomaly","AE011","describes","AE011 on EQ002 (Cartoner 002) was recorded as a low routine alert event. The technician ve","0.85"
"DL00149","DOC00149","service_ticket","TKT000462","describes","TKT000462 for Family Household 127 (C127) concerns Ingredient or product information reque","0.85"
"DL00150","DOC00150","purchase_order","PO000055","describes","PO000055 was issued to Everyday Consumer Goods 32 (SUP032) on 2025-01-23 with expected dat","0.95"
"DL00151","DOC00151","anomaly","AE0198","describes","AE0198 on EQ008 (Conveyor 008) was recorded as a medium barcode sensor dropout event. The ","0.90"
"DL00152","DOC00152","service_ticket","TKT000254","describes","TKT000254 for Student Household 191 (C191) concerns Missing item or component on PRD014; r","0.97"
"DL00153","DOC00153","purchase_order","PO000071","describes","PO000071 was issued to Harvest Consumer Goods 31 (SUP031) on 2026-08-07 with expected date","0.84"
"DL00154","DOC00154","contract","CTR00092","describes","CTR00092 covers Community Organization 067 (C067) from 2024-01-13 through 2025-01-12 at th","0.92"
"DL00155","DOC00155","contract","CTR00176","describes","CTR00176 covers Single Household 011 (C011) from 2026-08-20 through 2029-08-19 at the busi","0.84"
"DL00156","DOC00156","service_ticket","TKT000089","describes","TKT000089 for Family Household 165 (C165) concerns Refund status question on PRD014; recor","0.87"
"DL00157","DOC00157","contract","CTR00009","describes","CTR00009 covers Single Household 030 (C030) from 2024-02-27 through 2026-02-26 at the busi","0.82"
"DL00158","DOC00158","anomaly","AE0198","describes","AE0198 on EQ008 (Conveyor 008) was recorded as a medium barcode sensor dropout event. The ","0.95"
"DL00159","DOC00159","anomaly","AE0122","describes","AE0122 on EQ035 (Metal Detector 035) was recorded as a critical barcode sensor dropout eve","0.91"
"DL00160","DOC00160","service_ticket","TKT000407","describes","TKT000407 for Community Organization 070 (C070) concerns Package arrived damaged on PRD002","0.93"
"DL00161","DOC00161","purchase_order","PO000116","describes","PO000116 was issued to HomeChoice Consumer Goods 19 (SUP019) on 2026-05-28 with expected d","0.95"
"DL00162","DOC00162","service_ticket","TKT000272","describes","TKT000272 for Family Household 095 (C095) concerns Missing item or component on PRD006; re","0.96"
"DL00163","DOC00163","purchase_order","PO000626","describes","PO000626 was issued to Everyday Consumer Goods 26 (SUP026) on 2024-01-22 with expected dat","0.86"
"DL00164","DOC00164","contract","CTR00031","describes","CTR00031 covers Community Organization 184 (C184) from 2025-06-11 through 2028-06-10 at th","0.82"
"DL00165","DOC00165","anomaly","AE0085","describes","AE0085 on EQ040 (Palletizer 040) was recorded as a low sealing pressure loss event. The te","0.93"
"DL00166","DOC00166","service_ticket","TKT000490","describes","TKT000490 for Single Household 105 (C105) concerns Item quality below expectation on PRD01","0.93"
"DL00167","DOC00167","anomaly","AE0059","describes","AE0059 on EQ037 (Label Applicator 037) was recorded as a low packing cycle time deviation ","0.92"
"DL00168","DOC00168","contract","CTR00153","describes","CTR00153 covers Family Household 163 (C163) from 2025-09-12 through 2028-09-11 at the busi","0.87"
"DL00169","DOC00169","anomaly","AE0186","describes","AE0186 on EQ028 (Cartoner 028) was recorded as a low cold-chain temperature drift event. T","0.95"
"DL00170","DOC00170","anomaly","AE0096","describes","AE0096 on EQ020 (Case Packer 020) was recorded as a low sealing pressure loss event. The t","0.83"
"DL00171","DOC00171","service_ticket","TKT000039","describes","TKT000039 for Small Business 013 (C013) concerns Wrong item received on PRD014; recorded a","0.89"
"DL00172","DOC00172","service_ticket","TKT000374","describes","TKT000374 for Small Business 009 (C009) concerns Item quality below expectation on PRD020;","0.84"
"DL00173","DOC00173","contract","CTR00056","describes","CTR00056 covers Senior Household 111 (C111) from 2025-07-30 through 2026-07-30 at the basi","0.91"
"DL00174","DOC00174","purchase_order","PO000100","describes","PO000100 was issued to Freshway Consumer Goods 21 (SUP021) on 2025-11-25 with expected dat","0.84"
"DL00175","DOC00175","anomaly","AE0120","describes","AE0120 on EQ008 (Conveyor 008) was recorded as a low label vision inspection failure event","0.81"
"DL00176","DOC00176","contract","CTR00059","describes","CTR00059 covers Community Organization 142 (C142) from 2025-04-28 through 2027-04-28 at th","0.95"
"DL00177","DOC00177","contract","CTR00150","describes","CTR00150 covers Community Organization 049 (C049) from 2026-01-16 through 2029-01-15 at th","0.93"
"DL00178","DOC00178","contract","CTR00165","describes","CTR00165 covers Community Organization 189 (C189) from 2024-07-24 through 2027-07-24 at th","0.91"
"DL00179","DOC00179","purchase_order","PO000567","describes","PO000567 was issued to Everyday Consumer Goods 37 (SUP037) on 2024-01-22 with expected dat","0.89"
"DL00180","DOC00180","contract","CTR00031","describes","CTR00031 covers Community Organization 184 (C184) from 2025-06-11 through 2028-06-10 at th","0.92"
"DL00181","DOC00181","anomaly","AE0124","describes","AE0124 on EQ025 (Filling Machine 025) was recorded as a low cold-chain temperature drift e","0.83"
"DL00182","DOC00182","purchase_order","PO000381","describes","PO000381 was issued to Freshway Consumer Goods 07 (SUP007) on 2024-08-04 with expected dat","0.99"
"DL00183","DOC00183","service_ticket","TKT000216","describes","TKT000216 for Small Business 041 (C041) concerns Item quality below expectation on PRD007;","0.95"
"DL00184","DOC00184","contract","CTR00018","describes","CTR00018 covers Single Household 037 (C037) from 2024-09-22 through 2025-09-22 at the basi","0.97"
"DL00185","DOC00185","service_ticket","TKT000051","describes","TKT000051 for Senior Household 035 (C035) concerns Package arrived damaged on PRD017; reco","0.95"
"DL00186","DOC00186","purchase_order","PO000320","describes","PO000320 was issued to Everyday Consumer Goods 26 (SUP026) on 2026-12-23 with expected dat","0.97"
"DL00187","DOC00187","service_ticket","TKT000248","describes","TKT000248 for Small Business 170 (C170) concerns Package arrived damaged on PRD012; record","0.84"
"DL00188","DOC00188","service_ticket","TKT000172","describes","TKT000172 for Family Household 051 (C051) concerns Package arrived damaged on PRD018; reco","0.82"
"DL00189","DOC00189","service_ticket","TKT000243","describes","TKT000243 for Senior Household 054 (C054) concerns Missing item or component on PRD010; re","0.82"
"DL00190","DOC00190","contract","CTR00051","describes","CTR00051 covers Community Organization 152 (C152) from 2026-05-25 through 2028-05-24 at th","0.83"
"DL00191","DOC00191","service_ticket","TKT000019","describes","TKT000019 for Community Organization 183 (C183) concerns Ingredient or product information","0.81"
"DL00192","DOC00192","service_ticket","TKT000487","describes","TKT000487 for Student Household 197 (C197) concerns Missing item or component on PRD019; r","0.92"
"DL00193","DOC00193","service_ticket","TKT000403","describes","TKT000403 for Family Household 106 (C106) concerns Wrong item received on PRD005; recorded","0.90"
"DL00194","DOC00194","anomaly","AE0077","describes","AE0077 on EQ036 (Cartoner 036) was recorded as a low cold-chain temperature drift event. T","0.82"
"DL00195","DOC00195","purchase_order","PO000352","describes","PO000352 was issued to HomeChoice Consumer Goods 29 (SUP029) on 2026-12-07 with expected d","0.85"
"DL00196","DOC00196","anomaly","AE0185","describes","AE0185 on EQ004 (Filling Machine 004) was recorded as a low power instability event. The t","0.82"
