contract_id,customer_id,start_date,end_date,service_level,annual_value,renewal_type,terms_summary
CTR00132,C111,2026-01-23,2027-01-23,basic,200.90,auto,Business account terms include consolidated billing and bulk-order support.
CTR00133,C224,2024-05-21,2025-05-21,basic,4529.88,non_renewing,Plus membership includes enhanced delivery windows and selected promotional benefits.
CTR00134,C040,2026-01-09,2029-01-08,basic,3634.52,manual,Annual membership includes standard delivery benefits and digital receipts.
CTR00135,C193,2026-08-14,2028-08-13,basic,16207.73,auto,Business account terms include consolidated billing and bulk-order support.
CTR00136,C219,2026-05-23,2029-05-22,basic,10531.43,auto,Annual membership includes standard delivery benefits and digital receipts.
CTR00137,C099,2025-03-24,2026-03-24,plus,7504.40,auto,Business account terms include consolidated billing and bulk-order support.
CTR00138,C033,2024-01-26,2027-01-25,plus,14278.06,auto,Business account terms include consolidated billing and bulk-order support.
CTR00139,C204,2026-04-02,2028-04-01,plus,6879.71,manual,Plus membership includes enhanced delivery windows and selected promotional benefits.
CTR00140,C100,2025-08-26,2026-08-26,basic,13224.48,auto,Annual membership includes standard delivery benefits and digital receipts.
CTR00141,C071,2025-11-06,2028-11-05,plus,2880.37,non_renewing,Annual membership includes standard delivery benefits and digital receipts.
CTR00142,C136,2026-07-27,2028-07-26,business,13947.19,manual,Plus membership includes enhanced delivery windows and selected promotional benefits.
CTR00143,C044,2025-10-24,2026-10-24,plus,431.01,manual,Business account terms include consolidated billing and bulk-order support.
CTR00144,C145,2026-10-05,2029-10-04,basic,8959.11,non_renewing,Annual membership includes standard delivery benefits and digital receipts.
CTR00145,C035,2026-07-30,2027-07-30,business,7536.91,auto,Business account terms include consolidated billing and bulk-order support.
CTR00146,C182,2024-11-07,2025-11-07,business,10658.23,non_renewing,Annual membership includes standard delivery benefits and digital receipts.
CTR00147,C210,2024-03-17,2025-03-17,plus,722.44,manual,Business account terms include consolidated billing and bulk-order support.
CTR00148,C209,2026-04-03,2029-04-02,business,9848.04,non_renewing,Plus membership includes enhanced delivery windows and selected promotional benefits.
CTR00149,C169,2026-06-14,2029-06-13,plus,6685.94,manual,Annual membership includes standard delivery benefits and digital receipts.
CTR00150,C049,2026-01-16,2029-01-15,business,9547.78,manual,Business account terms include consolidated billing and bulk-order support.
CTR00151,C165,2025-12-07,2026-12-07,business,6061.41,auto,Plus membership includes enhanced delivery windows and selected promotional benefits.
CTR00152,C032,2024-06-21,2025-06-21,basic,12192.02,non_renewing,Annual membership includes standard delivery benefits and digital receipts.
CTR00153,C163,2025-09-12,2028-09-11,business,3068.43,non_renewing,Annual membership includes standard delivery benefits and digital receipts.
CTR00154,C120,2025-11-24,2027-11-24,business,1759.22,manual,Plus membership includes enhanced delivery windows and selected promotional benefits.
CTR00155,C141,2024-03-02,2027-03-02,basic,8608.87,manual,Plus membership includes enhanced delivery windows and selected promotional benefits.
CTR00156,C042,2024-07-03,2026-07-03,plus,15591.00,non_renewing,Annual membership includes standard delivery benefits and digital receipts.
CTR00157,C182,2025-11-23,2028-11-22,business,7777.42,non_renewing,Annual membership includes standard delivery benefits and digital receipts.
CTR00158,C092,2024-10-20,2026-10-20,business,14672.65,manual,Business account terms include consolidated billing and bulk-order support.
CTR00159,C179,2026-12-31,2028-12-30,plus,9530.47,auto,Annual membership includes standard delivery benefits and digital receipts.
CTR00160,C010,2024-04-07,2027-04-07,business,11326.17,manual,Business account terms include consolidated billing and bulk-order support.
CTR00161,C041,2024-07-03,2027-07-03,business,16571.00,auto,Business account terms include consolidated billing and bulk-order support.
CTR00162,C037,2024-10-15,2025-10-15,plus,12936.91,auto,Annual membership includes standard delivery benefits and digital receipts.
CTR00163,C017,2026-09-30,2027-09-30,basic,6173.42,manual,Business account terms include consolidated billing and bulk-order support.
CTR00164,C037,2025-08-09,2026-08-09,plus,5054.04,manual,Plus membership includes enhanced delivery windows and selected promotional benefits.
CTR00165,C189,2024-07-24,2027-07-24,plus,7863.98,manual,Plus membership includes enhanced delivery windows and selected promotional benefits.
CTR00166,C030,2025-03-19,2026-03-19,basic,11694.55,manual,Plus membership includes enhanced delivery windows and selected promotional benefits.
CTR00167,C231,2026-12-02,2029-12-01,business,803.01,non_renewing,Business account terms include consolidated billing and bulk-order support.
CTR00168,C224,2025-04-24,2027-04-24,basic,16511.33,non_renewing,Business account terms include consolidated billing and bulk-order support.
CTR00169,C138,2024-06-11,2026-06-11,plus,3790.31,manual,Business account terms include consolidated billing and bulk-order support.
CTR00170,C111,2024-07-20,2026-07-20,plus,3093.42,non_renewing,Annual membership includes standard delivery benefits and digital receipts.
CTR00171,C189,2024-06-23,2025-06-23,business,1762.18,auto,Plus membership includes enhanced delivery windows and selected promotional benefits.
CTR00172,C117,2024-11-24,2026-11-24,plus,12115.59,manual,Annual membership includes standard delivery benefits and digital receipts.
CTR00173,C194,2025-03-24,2028-03-23,business,11660.65,manual,Annual membership includes standard delivery benefits and digital receipts.
CTR00174,C218,2025-04-10,2028-04-09,plus,11781.33,auto,Business account terms include consolidated billing and bulk-order support.
CTR00175,C194,2024-03-11,2025-03-11,plus,11408.46,auto,Annual membership includes standard delivery benefits and digital receipts.
CTR00176,C011,2026-08-20,2029-08-19,business,10425.57,non_renewing,Annual membership includes standard delivery benefits and digital receipts.
CTR00177,C086,2025-10-01,2027-10-01,business,11338.77,non_renewing,Business account terms include consolidated billing and bulk-order support.
CTR00178,C062,2024-12-22,2025-12-22,business,12073.85,manual,Annual membership includes standard delivery benefits and digital receipts.
CTR00179,C014,2025-12-11,2026-12-11,plus,906.63,auto,Plus membership includes enhanced delivery windows and selected promotional benefits.
CTR00180,C034,2024-02-02,2026-02-01,basic,14599.18,non_renewing,Business account terms include consolidated billing and bulk-order support.
