purchase_order_id,supplier_id,order_date,expected_date,buyer_employee_id,status,currency,incoterm
PO000102,SUP014,2024-12-09,2025-01-19,EMP0102,open,USD,EXW
PO000103,SUP022,2025-04-18,2025-05-24,EMP0070,cancelled,USD,DAP
PO000104,SUP017,2026-11-08,2026-11-26,EMP0047,received,USD,DAP
PO000105,SUP001,2025-05-16,2025-06-22,EMP0112,received,USD,CIP
PO000106,SUP016,2026-03-31,2026-04-21,EMP0102,received,USD,FCA
PO000107,SUP022,2024-12-12,2025-01-17,EMP0078,received,USD,CIP
PO000108,SUP028,2025-09-02,2025-09-21,EMP0021,received,USD,CIP
PO000109,SUP036,2024-02-06,2024-03-09,EMP0047,open,USD,CIP
PO000110,SUP036,2026-04-21,2026-05-23,EMP0032,late,USD,CIP
PO000111,SUP003,2026-02-12,2026-03-17,EMP0070,received,USD,DAP
PO000112,SUP016,2024-02-20,2024-03-12,EMP0050,received,USD,CIP
PO000113,SUP028,2026-11-05,2026-11-24,EMP0032,open,USD,CIP
PO000114,SUP011,2026-08-14,2026-08-18,EMP0032,received,USD,FCA
PO000115,SUP017,2025-09-15,2025-10-03,EMP0082,received,USD,CIP
PO000116,SUP019,2026-05-28,2026-06-10,EMP0070,open,USD,EXW
PO000117,SUP025,2025-01-05,2025-01-09,EMP0082,received,USD,CIP
PO000118,SUP018,2024-04-06,2024-05-11,EMP0078,open,USD,FCA
PO000119,SUP033,2024-12-20,2025-01-23,EMP0047,open,USD,EXW
PO000120,SUP022,2026-12-30,2027-02-04,EMP0004,received,USD,FCA
PO000121,SUP034,2025-03-11,2025-04-09,EMP0021,received,USD,FCA
PO000122,SUP020,2025-02-23,2025-03-30,EMP0004,open,USD,DAP
PO000123,SUP034,2024-04-02,2024-05-01,EMP0078,received,USD,FCA
PO000124,SUP026,2025-08-20,2025-09-20,EMP0080,received,USD,EXW
PO000125,SUP016,2025-10-13,2025-11-03,EMP0021,received,USD,DAP
PO000126,SUP033,2025-02-20,2025-03-26,EMP0046,cancelled,USD,DAP
PO000127,SUP031,2026-12-06,2027-01-11,EMP0070,received,USD,FCA
PO000128,SUP021,2024-08-20,2024-08-29,EMP0082,received,USD,DAP
PO000129,SUP005,2026-05-20,2026-06-13,EMP0004,late,USD,FCA
PO000130,SUP014,2026-03-04,2026-04-14,EMP0046,received,USD,EXW
PO000131,SUP002,2025-10-21,2025-11-24,EMP0080,received,USD,DAP
PO000132,SUP020,2024-02-17,2024-03-23,EMP0050,open,USD,CIP
PO000133,SUP005,2026-11-25,2026-12-19,EMP0047,late,USD,CIP
PO000134,SUP034,2024-02-27,2024-03-27,EMP0021,received,USD,CIP
PO000135,SUP005,2024-03-01,2024-03-25,EMP0070,cancelled,USD,DAP
PO000136,SUP035,2026-02-21,2026-03-06,EMP0112,open,USD,DAP
PO000137,SUP019,2026-01-22,2026-02-04,EMP0004,received,USD,FCA
PO000138,SUP037,2025-10-31,2025-12-08,EMP0112,late,USD,FCA
PO000139,SUP015,2025-12-13,2026-01-19,EMP0070,open,USD,FCA
PO000140,SUP037,2026-04-25,2026-06-02,EMP0004,received,USD,CIP
PO000141,SUP023,2024-12-09,2024-12-17,EMP0021,received,USD,DAP
PO000142,SUP030,2025-05-13,2025-05-20,EMP0046,received,USD,CIP
PO000143,SUP031,2026-09-18,2026-10-24,EMP0082,received,USD,DAP
PO000144,SUP003,2026-06-24,2026-07-27,EMP0046,open,USD,DAP
PO000145,SUP031,2025-05-21,2025-06-26,EMP0046,cancelled,USD,DAP
PO000146,SUP030,2025-05-19,2025-05-26,EMP0102,received,USD,FCA
PO000147,SUP006,2024-10-22,2024-10-29,EMP0078,received,USD,EXW
PO000148,SUP033,2025-03-26,2025-04-29,EMP0080,received,USD,FCA
PO000149,SUP035,2025-03-14,2025-03-27,EMP0052,received,USD,DAP
PO000150,SUP030,2026-05-06,2026-05-13,EMP0082,received,USD,CIP
PO000151,SUP013,2024-11-20,2024-12-19,EMP0078,received,USD,DAP
PO000152,SUP003,2026-12-28,2027-01-30,EMP0112,open,USD,CIP
PO000153,SUP029,2026-01-08,2026-01-13,EMP0050,received,USD,DAP
PO000154,SUP017,2024-02-29,2024-03-18,EMP0080,received,USD,CIP
PO000155,SUP004,2026-03-14,2026-04-25,EMP0070,received,USD,DAP
PO000156,SUP034,2024-01-18,2024-02-16,EMP0102,received,USD,FCA
PO000157,SUP023,2026-03-02,2026-03-10,EMP0102,received,USD,FCA
PO000158,SUP017,2024-03-10,2024-03-28,EMP0021,received,USD,CIP
PO000159,SUP022,2024-07-23,2024-08-28,EMP0112,received,USD,DAP
PO000160,SUP011,2024-02-25,2024-02-29,EMP0047,open,USD,FCA
PO000161,SUP014,2024-07-30,2024-09-09,EMP0082,received,USD,EXW
PO000162,SUP003,2025-04-25,2025-05-28,EMP0102,received,USD,FCA
PO000163,SUP031,2026-08-10,2026-09-15,EMP0046,open,USD,DAP
PO000164,SUP026,2026-06-09,2026-07-10,EMP0102,cancelled,USD,FCA
PO000165,SUP012,2024-12-30,2025-02-06,EMP0046,late,USD,CIP
PO000166,SUP003,2024-08-20,2024-09-22,EMP0082,open,USD,EXW
PO000167,SUP008,2024-04-26,2024-05-09,EMP0070,received,USD,CIP
PO000168,SUP003,2026-06-18,2026-07-21,EMP0032,received,USD,FCA
PO000169,SUP007,2025-04-26,2025-05-22,EMP0050,received,USD,CIP
PO000170,SUP022,2026-08-23,2026-09-28,EMP0047,received,USD,CIP
PO000171,SUP001,2024-05-25,2024-07-01,EMP0082,received,USD,CIP
PO000172,SUP014,2026-02-14,2026-03-27,EMP0078,late,USD,CIP
PO000173,SUP032,2026-11-16,2026-11-22,EMP0082,received,USD,FCA
PO000174,SUP029,2024-08-12,2024-08-17,EMP0078,received,USD,EXW
PO000175,SUP019,2025-04-03,2025-04-16,EMP0082,received,USD,CIP
PO000176,SUP011,2026-05-03,2026-05-07,EMP0112,open,USD,FCA
PO000177,SUP018,2024-03-26,2024-04-30,EMP0050,late,USD,FCA
PO000178,SUP012,2024-10-23,2024-11-30,EMP0078,received,USD,DAP
PO000179,SUP037,2026-04-03,2026-05-11,EMP0070,cancelled,USD,EXW
PO000180,SUP018,2025-12-14,2026-01-18,EMP0004,received,USD,CIP
PO000181,SUP037,2025-10-22,2025-11-29,EMP0032,received,USD,CIP
PO000182,SUP007,2025-02-07,2025-03-05,EMP0046,received,USD,DAP
PO000183,SUP028,2024-05-20,2024-06-08,EMP0112,received,USD,FCA
PO000184,SUP004,2024-11-17,2024-12-29,EMP0047,open,USD,FCA
PO000185,SUP011,2025-12-22,2025-12-26,EMP0080,received,USD,DAP
PO000186,SUP020,2026-12-16,2027-01-20,EMP0052,received,USD,DAP
PO000187,SUP012,2025-10-05,2025-11-12,EMP0050,received,USD,CIP
PO000188,SUP002,2026-01-29,2026-03-04,EMP0050,open,USD,EXW
PO000189,SUP019,2025-01-16,2025-01-29,EMP0032,received,USD,CIP
PO000190,SUP021,2025-03-27,2025-04-05,EMP0050,late,USD,FCA
PO000191,SUP018,2025-02-16,2025-03-23,EMP0046,open,USD,CIP
PO000192,SUP036,2025-08-22,2025-09-23,EMP0021,received,USD,EXW
PO000193,SUP029,2024-09-27,2024-10-02,EMP0050,open,USD,DAP
PO000194,SUP040,2025-09-04,2025-09-08,EMP0102,received,USD,FCA
PO000195,SUP012,2024-06-01,2024-07-09,EMP0004,received,USD,FCA
PO000196,SUP008,2024-07-01,2024-07-14,EMP0046,received,USD,EXW
PO000197,SUP034,2025-11-29,2025-12-28,EMP0021,received,USD,FCA
PO000198,SUP035,2025-04-29,2025-05-12,EMP0078,cancelled,USD,DAP
PO000199,SUP009,2025-08-10,2025-09-14,EMP0052,late,USD,CIP
PO000200,SUP039,2024-12-05,2024-12-30,EMP0052,received,USD,CIP
PO000201,SUP035,2026-07-13,2026-07-26,EMP0102,received,USD,DAP
PO000202,SUP037,2025-02-10,2025-03-20,EMP0082,received,USD,EXW
PO000203,SUP029,2026-04-25,2026-04-30,EMP0047,cancelled,USD,DAP
PO000204,SUP032,2025-01-16,2025-01-22,EMP0082,received,USD,FCA
PO000205,SUP037,2026-09-27,2026-11-04,EMP0102,received,USD,FCA
PO000206,SUP001,2024-06-17,2024-07-24,EMP0046,late,USD,EXW
PO000207,SUP012,2024-08-09,2024-09-16,EMP0050,cancelled,USD,DAP
PO000208,SUP026,2025-11-22,2025-12-23,EMP0032,cancelled,USD,DAP
PO000209,SUP032,2024-11-15,2024-11-21,EMP0052,open,USD,CIP
PO000210,SUP034,2025-01-13,2025-02-11,EMP0080,late,USD,EXW
PO000211,SUP010,2025-02-07,2025-02-12,EMP0046,late,USD,EXW
PO000212,SUP010,2026-08-10,2026-08-15,EMP0046,open,USD,DAP
PO000213,SUP011,2026-05-09,2026-05-13,EMP0078,received,USD,DAP
PO000214,SUP025,2025-04-22,2025-04-26,EMP0078,late,USD,EXW
PO000215,SUP040,2024-04-23,2024-04-27,EMP0052,received,USD,DAP
PO000216,SUP019,2024-02-02,2024-02-15,EMP0078,open,USD,DAP
PO000217,SUP001,2025-06-26,2025-08-02,EMP0004,open,USD,FCA
PO000218,SUP009,2026-06-08,2026-07-13,EMP0050,received,USD,CIP
PO000219,SUP014,2026-04-11,2026-05-22,EMP0078,received,USD,CIP
PO000220,SUP040,2026-10-27,2026-10-31,EMP0004,received,USD,CIP
PO000221,SUP039,2025-06-01,2025-06-26,EMP0050,cancelled,USD,EXW
PO000222,SUP017,2024-04-15,2024-05-03,EMP0070,received,USD,DAP
PO000223,SUP002,2026-05-31,2026-07-04,EMP0021,received,USD,EXW
PO000224,SUP008,2026-11-10,2026-11-23,EMP0004,open,USD,FCA
PO000225,SUP008,2026-03-07,2026-03-20,EMP0046,received,USD,CIP
PO000226,SUP012,2024-06-05,2024-07-13,EMP0046,received,USD,CIP
PO000227,SUP031,2026-02-25,2026-04-02,EMP0080,received,USD,DAP
PO000228,SUP031,2024-11-27,2025-01-02,EMP0082,open,USD,EXW
PO000229,SUP028,2025-08-21,2025-09-09,EMP0021,received,USD,FCA
PO000230,SUP012,2024-04-30,2024-06-07,EMP0052,received,USD,EXW
PO000231,SUP002,2024-07-05,2024-08-08,EMP0082,received,USD,EXW
PO000232,SUP019,2024-03-24,2024-04-06,EMP0021,received,USD,DAP
PO000233,SUP032,2024-04-21,2024-04-27,EMP0080,received,USD,FCA
PO000234,SUP027,2024-03-10,2024-04-19,EMP0032,open,USD,DAP
PO000235,SUP001,2026-06-06,2026-07-13,EMP0004,open,USD,DAP
PO000236,SUP019,2025-02-03,2025-02-16,EMP0050,received,USD,DAP
PO000237,SUP030,2026-12-02,2026-12-09,EMP0046,received,USD,CIP
PO000238,SUP025,2024-08-25,2024-08-29,EMP0050,open,USD,FCA
PO000239,SUP039,2025-01-20,2025-02-14,EMP0078,received,USD,FCA
PO000240,SUP021,2025-04-20,2025-04-29,EMP0080,received,USD,FCA
PO000241,SUP008,2025-11-26,2025-12-09,EMP0047,open,USD,CIP
PO000242,SUP023,2024-05-08,2024-05-16,EMP0021,open,USD,FCA
PO000243,SUP038,2024-02-14,2024-03-11,EMP0080,received,USD,CIP
PO000244,SUP034,2024-12-29,2025-01-27,EMP0021,received,USD,FCA
PO000245,SUP016,2025-03-21,2025-04-11,EMP0046,received,USD,DAP
PO000246,SUP033,2026-01-26,2026-03-01,EMP0046,received,USD,DAP
PO000247,SUP023,2024-01-09,2024-01-17,EMP0047,late,USD,CIP
PO000248,SUP030,2025-09-26,2025-10-03,EMP0004,open,USD,FCA
PO000249,SUP020,2026-11-05,2026-12-10,EMP0047,received,USD,FCA
PO000250,SUP028,2025-06-08,2025-06-27,EMP0112,received,USD,FCA
PO000251,SUP029,2024-02-27,2024-03-03,EMP0080,open,USD,FCA
PO000252,SUP006,2026-06-18,2026-06-25,EMP0112,received,USD,EXW
PO000253,SUP040,2025-04-22,2025-04-26,EMP0052,received,USD,EXW
PO000254,SUP037,2024-08-20,2024-09-27,EMP0078,received,USD,CIP
PO000255,SUP028,2024-08-26,2024-09-14,EMP0050,received,USD,CIP
PO000256,SUP003,2024-08-26,2024-09-28,EMP0102,open,USD,FCA
PO000257,SUP037,2025-05-28,2025-07-05,EMP0021,received,USD,DAP
PO000258,SUP034,2024-11-17,2024-12-16,EMP0050,open,USD,CIP
PO000259,SUP032,2026-03-30,2026-04-05,EMP0050,received,USD,EXW
PO000260,SUP019,2026-04-08,2026-04-21,EMP0112,received,USD,EXW
PO000261,SUP004,2025-04-03,2025-05-15,EMP0021,received,USD,CIP
PO000262,SUP012,2026-07-06,2026-08-13,EMP0004,open,USD,FCA
PO000263,SUP014,2026-01-22,2026-03-04,EMP0080,open,USD,EXW
PO000264,SUP040,2026-06-09,2026-06-13,EMP0050,open,USD,CIP
PO000265,SUP021,2024-06-20,2024-06-29,EMP0070,received,USD,DAP
PO000266,SUP021,2026-02-13,2026-02-22,EMP0032,open,USD,CIP
PO000267,SUP034,2025-01-06,2025-02-04,EMP0078,received,USD,CIP
PO000268,SUP002,2025-12-25,2026-01-28,EMP0112,received,USD,CIP
PO000269,SUP025,2025-06-15,2025-06-19,EMP0112,received,USD,DAP
PO000270,SUP002,2026-05-04,2026-06-07,EMP0021,open,USD,FCA
PO000271,SUP032,2025-11-02,2025-11-08,EMP0004,open,USD,DAP
PO000272,SUP006,2024-02-12,2024-02-19,EMP0052,received,USD,EXW
PO000273,SUP017,2025-09-26,2025-10-14,EMP0052,received,USD,FCA
PO000274,SUP018,2025-01-20,2025-02-24,EMP0050,open,USD,FCA
PO000275,SUP022,2025-08-29,2025-10-04,EMP0102,received,USD,FCA
PO000276,SUP038,2025-01-16,2025-02-11,EMP0052,received,USD,EXW
PO000277,SUP031,2026-08-15,2026-09-20,EMP0046,received,USD,EXW
PO000278,SUP030,2024-07-13,2024-07-20,EMP0078,received,USD,CIP
PO000279,SUP023,2024-12-26,2025-01-03,EMP0082,received,USD,EXW
PO000280,SUP006,2024-02-07,2024-02-14,EMP0080,open,USD,FCA
PO000281,SUP016,2025-10-21,2025-11-11,EMP0078,open,USD,CIP
PO000282,SUP005,2025-11-01,2025-11-25,EMP0046,open,USD,FCA
PO000283,SUP032,2024-06-01,2024-06-07,EMP0047,received,USD,DAP
PO000284,SUP039,2025-04-29,2025-05-24,EMP0004,received,USD,EXW
PO000285,SUP015,2024-09-04,2024-10-11,EMP0047,late,USD,DAP
PO000286,SUP008,2025-12-06,2025-12-19,EMP0102,received,USD,EXW
PO000287,SUP022,2024-03-27,2024-05-02,EMP0078,open,USD,DAP
PO000288,SUP039,2024-07-15,2024-08-09,EMP0082,late,USD,EXW
PO000289,SUP038,2024-04-09,2024-05-05,EMP0032,received,USD,EXW
PO000290,SUP020,2026-08-21,2026-09-25,EMP0032,received,USD,DAP
PO000291,SUP001,2024-07-13,2024-08-19,EMP0112,received,USD,CIP
PO000292,SUP033,2026-12-06,2027-01-09,EMP0047,received,USD,CIP
PO000293,SUP014,2024-07-20,2024-08-30,EMP0046,received,USD,DAP
PO000294,SUP032,2025-10-20,2025-10-26,EMP0078,open,USD,DAP
PO000295,SUP037,2024-01-24,2024-03-02,EMP0046,late,USD,FCA
PO000296,SUP027,2025-05-12,2025-06-21,EMP0004,received,USD,CIP
PO000297,SUP004,2025-02-13,2025-03-27,EMP0052,received,USD,FCA
PO000298,SUP015,2024-06-27,2024-08-03,EMP0070,received,USD,EXW
PO000299,SUP012,2024-06-10,2024-07-18,EMP0070,open,USD,DAP
PO000300,SUP001,2026-12-03,2027-01-09,EMP0080,received,USD,FCA
PO000301,SUP035,2025-01-01,2025-01-14,EMP0021,open,USD,EXW
PO000302,SUP003,2026-09-08,2026-10-11,EMP0078,open,USD,CIP
PO000303,SUP019,2026-06-11,2026-06-24,EMP0047,received,USD,CIP
PO000304,SUP040,2026-11-25,2026-11-29,EMP0050,received,USD,FCA
PO000305,SUP012,2024-08-13,2024-09-20,EMP0080,received,USD,EXW
PO000306,SUP017,2026-12-01,2026-12-19,EMP0004,open,USD,CIP
PO000307,SUP001,2026-02-15,2026-03-24,EMP0078,received,USD,FCA
PO000308,SUP019,2024-12-25,2025-01-07,EMP0046,late,USD,FCA
PO000309,SUP003,2024-11-05,2024-12-08,EMP0047,received,USD,EXW
PO000310,SUP016,2025-03-22,2025-04-12,EMP0052,received,USD,FCA
PO000311,SUP027,2026-02-26,2026-04-07,EMP0102,open,USD,EXW
PO000312,SUP034,2024-02-13,2024-03-13,EMP0021,open,USD,EXW
PO000313,SUP033,2025-10-11,2025-11-14,EMP0112,received,USD,FCA
PO000314,SUP016,2024-06-04,2024-06-25,EMP0082,open,USD,FCA
PO000315,SUP005,2026-11-12,2026-12-06,EMP0052,open,USD,FCA
PO000316,SUP018,2024-01-03,2024-02-07,EMP0112,open,USD,EXW
PO000317,SUP017,2024-09-28,2024-10-16,EMP0078,open,USD,DAP
PO000318,SUP001,2024-11-26,2025-01-02,EMP0078,late,USD,DAP
PO000319,SUP017,2025-01-30,2025-02-17,EMP0047,received,USD,CIP
PO000320,SUP026,2026-12-23,2027-01-23,EMP0032,received,USD,CIP
PO000321,SUP012,2024-12-28,2025-02-04,EMP0112,received,USD,FCA
PO000322,SUP039,2025-04-12,2025-05-07,EMP0021,received,USD,EXW
PO000323,SUP029,2025-09-27,2025-10-02,EMP0082,received,USD,FCA
PO000324,SUP004,2025-03-08,2025-04-19,EMP0047,open,USD,FCA
PO000325,SUP023,2025-07-21,2025-07-29,EMP0050,received,USD,FCA
PO000326,SUP006,2024-10-19,2024-10-26,EMP0050,open,USD,DAP
PO000327,SUP030,2025-06-22,2025-06-29,EMP0052,received,USD,FCA
PO000328,SUP027,2024-07-09,2024-08-18,EMP0021,received,USD,DAP
PO000329,SUP040,2024-12-28,2025-01-01,EMP0112,received,USD,FCA
PO000330,SUP026,2026-01-14,2026-02-14,EMP0004,received,USD,EXW
PO000331,SUP024,2025-01-09,2025-02-19,EMP0102,open,USD,DAP
PO000332,SUP037,2025-05-14,2025-06-21,EMP0021,received,USD,FCA
PO000333,SUP017,2025-07-18,2025-08-05,EMP0052,open,USD,CIP
PO000334,SUP015,2025-10-29,2025-12-05,EMP0070,cancelled,USD,CIP
PO000335,SUP024,2024-02-22,2024-04-03,EMP0021,received,USD,FCA
PO000336,SUP018,2025-12-22,2026-01-26,EMP0021,cancelled,USD,CIP
PO000337,SUP010,2026-02-02,2026-02-07,EMP0082,received,USD,EXW
PO000338,SUP018,2024-07-25,2024-08-29,EMP0078,received,USD,CIP
PO000339,SUP034,2024-09-12,2024-10-11,EMP0004,received,USD,FCA
PO000340,SUP020,2026-05-31,2026-07-05,EMP0070,received,USD,DAP
PO000341,SUP034,2026-12-16,2027-01-14,EMP0052,cancelled,USD,EXW
PO000342,SUP006,2026-03-13,2026-03-20,EMP0032,late,USD,EXW
PO000343,SUP036,2025-09-08,2025-10-10,EMP0080,received,USD,FCA
PO000344,SUP011,2025-05-09,2025-05-13,EMP0112,cancelled,USD,CIP
PO000345,SUP016,2024-06-09,2024-06-30,EMP0080,open,USD,EXW
PO000346,SUP020,2024-05-17,2024-06-21,EMP0046,late,USD,CIP
PO000347,SUP013,2024-01-29,2024-02-27,EMP0021,late,USD,FCA
PO000348,SUP039,2025-10-05,2025-10-30,EMP0082,received,USD,DAP
PO000349,SUP007,2026-09-05,2026-10-01,EMP0078,received,USD,CIP
PO000350,SUP033,2026-07-15,2026-08-18,EMP0052,received,USD,CIP
PO000351,SUP019,2025-04-21,2025-05-04,EMP0046,received,USD,FCA
PO000352,SUP029,2026-12-07,2026-12-12,EMP0032,received,USD,DAP
PO000353,SUP018,2024-03-02,2024-04-06,EMP0047,received,USD,CIP
PO000354,SUP006,2024-03-10,2024-03-17,EMP0047,open,USD,DAP
PO000355,SUP020,2024-03-20,2024-04-24,EMP0047,received,USD,DAP
